MARC tag	Field name	Field repeatability	Field note	SF delimiter	SF name	SF repeatability	SF note	Subfield	Endeca element	i1	i2	Other constraint	Institution
110	MAIN ENTRY--CORPORATE NAME	NR	.	e	Relator term	R	.	110e	Main Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	f	Date of a work	NR	.	110f	Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	f	Date of a work	NR	.	110f	Main Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	g	Miscellaneous information	R	.	110g	Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	g	Miscellaneous information	R	.	110g	Main Author	.	.	.	TRLN
110	MAIN ENTRY--CORPORATE NAME	NR	.	n	Number of part/section/meeting	R	.	110n	Main Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	a	Meeting name or jurisdiction name as entry element	NR	.	111a	Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	a	Meeting name or jurisdiction name as entry element	NR	.	111a	Main Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	b	Number	.	[OBSOLETE]	111b	Main Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	c	Location of meeting	R	.	111c	Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	c	Location of meeting	R	.	111c	Main Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	d	Date of meeting	NR	.	111d	Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	d	Date of meeting	NR	.	111d	Main Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	e	Subordinate unit	R	.	111e	Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	e	Subordinate unit	R	.	111e	Main Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	f	Date of a work	NR	.	111f	Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	f	Date of a work	NR	.	111f	Main Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	g	Miscellaneous information	R	.	111g	Main Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	n	Number of part/section/meeting	R	.	111n	Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	n	Number of part/section/meeting	R	.	111n	Main Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	q	Name of meeting following jurisdiction name entry element	NR	.	111q	Author	.	.	.	TRLN
111	MAIN ENTRY--MEETING NAME	NR	.	q	Name of meeting following jurisdiction name entry element	NR	.	111q	Main Author	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	a	Uniform title	NR	.	130a	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	a	Uniform title	NR	.	130a	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	d	Date of treaty signing	R	.	130d	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	d	Date of treaty signing	R	.	130d	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	f	Date of a work	NR	.	130f	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	f	Date of a work	NR	.	130f	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	g	Miscellaneous information	R	.	130g	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	g	Miscellaneous information	R	.	130g	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	h	Medium	NR	.	130h	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	h	Medium	NR	.	130h	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	k	Form subheading	R	.	130k	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	k	Form subheading	R	.	130k	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	l	Language of a work	NR	.	130l	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	l	Language of a work	NR	.	130l	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	m	Medium of performance for music	R	.	130m	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	m	Medium of performance for music	R	.	130m	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	n	Number of part/section of a work	R	.	130n	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	n	Number of part/section of a work	R	.	130n	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	o	Arranged statement for music	NR	.	130o	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	o	Arranged statement for music	NR	.	130o	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	p	Name of part/section of a work	R	.	130p	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	p	Name of part/section of a work	R	.	130p	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	r	Key for music	NR	.	130r	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	r	Key for music	NR	.	130r	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	s	Version	NR	.	130s	Main Uniform Title	.	.	.	TRLN
130	MAIN ENTRY--UNIFORM TITLE	NR	.	s	Version	NR	.	130s	Journal Uniform Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
210	ABBREVIATED TITLE	R	.	a	Abbreviated title	NR	.	210a	Title Index	.	.	.	TRLN
210	ABBREVIATED TITLE	R	.	a	Abbreviated title	NR	.	210a	Journal Title Abbreviation	.	.	LDR/07=s && 008/21=[pP]	TRLN
210	ABBREVIATED TITLE	R	.	b	Qualifying information	NR	.	210b	Title Index	.	.	.	TRLN
210	ABBREVIATED TITLE	R	.	b	Qualifying information	NR	.	210b	Journal Title Abbreviation	.	.	LDR/07=s && 008/21=[pP]	TRLN
240	UNIFORM TITLE	NR	.	a	Uniform title	NR	.	240a	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	d	Date of treaty signing	R	.	240d	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	f	Date of a work	NR	.	240f	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	g	Miscellaneous information	R	.	240g	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	h	Medium	NR	.	240h	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	k	Form subheading	R	.	240k	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	l	Language of a work	NR	.	240l	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	m	Medium of performance for music	R	.	240m	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	n	Number of part/section of a work	R	.	240n	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	o	Arranged statement for music	NR	.	240o	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	p	Name of part/section of a work	R	.	240p	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	r	Key for music	NR	.	240r	Uniform Title	.	.	.	TRLN
240	UNIFORM TITLE	NR	.	s	Version	NR	.	240s	Uniform Title	.	.	.	TRLN
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	a	Title	NR	.	242a	Other Title Translation	.	.	.	TRLN
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	b	Remainder of title	NR	.	242b	Other Title Translation	.	.	.	TRLN
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	c	Statement of responsibility, etc.	NR	.	242c	Other Author Translation	.	.	.	TRLN
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	h	Medium	NR	.	242h	Other Title Translation	.	.	.	TRLN
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	n	Number of part/section of a work	R	.	242n	Other Title Translation	.	.	.	TRLN
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	p	Name of part/section of a work	R	.	242p	Other Title Translation	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	a	Uniform title	NR	.	243a	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	d	Date of treaty signing	R	.	243d	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	f	Date of a work	NR	.	243f	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	k	Form subheading	R	.	243k	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	l	Language of a work	NR	.	243l	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	m	Medium of performance for music	R	.	243m	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	n	Number of part/section of a work	R	.	243n	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	o	Arranged statement for music	NR	.	243o	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	p	Name of part/section of a work	R	.	243p	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	r	Key for music	NR	.	243r	Collective Uniform Title	.	.	.	TRLN
243	COLLECTIVE UNIFORM TITLE	NR	.	s	Version	NR	.	243s	Collective Uniform Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	a	Title	NR	.	245a	Main Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	a	Title	NR	.	245a	Title Sort	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	a	Title	NR	.	245a	Journal Title Index	.	.	LDR/07=s && 008/21=[pP]	TRLN
245	TITLE STATEMENT	NR	.	b	Remainder of title	NR	.	245b	Main Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	b	Remainder of title	NR	.	245b	Title Sort	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	b	Remainder of title	NR	.	245b	Journal Title Index	.	.	LDR/07=s && 008/21=[pP]	TRLN
245	TITLE STATEMENT	NR	.	c	Statement of responsibility, etc.	NR	.	245c	Statement of Responsibility	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	f	Inclusive dates	NR	.	245f	Main Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	f	Inclusive dates	NR	.	245f	Title Sort	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	g	Bulk dates	NR	.	245g	Main Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	g	Bulk dates	NR	.	245g	Title Sort	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	h	Medium	NR	.	245h	Main Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	h	Medium	NR	.	245h	Title Sort	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	k	Form	R	.	245k	Main Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	k	Form	R	.	245k	Title Sort	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	n	Number of part/section of a work	R	.	245n	Main Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	n	Number of part/section of a work	R	.	245n	Title Sort	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	n	Number of part/section of a work	R	.	245n	Journal Title Index	.	.	LDR/07=s && 008/21=[pP]	TRLN
245	TITLE STATEMENT	NR	.	p	Name of part/section of a work	R	.	245p	Main Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	p	Name of part/section of a work	R	.	245p	Title Sort	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	p	Name of part/section of a work	R	.	245p	Journal Title Index	.	.	LDR/07=s && 008/21=[pP]	TRLN
245	TITLE STATEMENT	NR	.	s	Version	NR	.	245s	Main Title	.	.	.	TRLN
245	TITLE STATEMENT	NR	.	s	Version	NR	.	245s	Title Sort	.	.	.	TRLN
246	VARYING FORM OF TITLE	R	.	a	Title proper/short title	NR	.	246a	Varying Titles	.	.	.	TRLN
246	VARYING FORM OF TITLE	R	.	a	Title proper/short title	NR	.	246a	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
246	VARYING FORM OF TITLE	R	.	b	Remainder of title	NR	.	246b	Varying Titles	.	.	.	TRLN
246	VARYING FORM OF TITLE	R	.	b	Remainder of title	NR	.	246b	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
246	VARYING FORM OF TITLE	R	.	h	Medium	NR	.	246h	Varying Titles	.	.	.	TRLN
246	VARYING FORM OF TITLE	R	.	h	Medium	NR	.	246h	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
246	VARYING FORM OF TITLE	R	.	n	Number of part/section of a work	R	.	246n	Varying Titles	.	.	.	TRLN
246	VARYING FORM OF TITLE	R	.	n	Number of part/section of a work	R	.	246n	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
246	VARYING FORM OF TITLE	R	.	p	Name of part/section of a work	R	.	246p	Varying Titles	.	.	.	TRLN
246	VARYING FORM OF TITLE	R	.	p	Name of part/section of a work	R	.	246p	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
247	FORMER TITLE	R	.	a	Title	NR	.	247a	Varying Titles	.	.	.	TRLN
247	FORMER TITLE	R	.	a	Title	NR	.	247a	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
247	FORMER TITLE	R	.	b	Remainder of title	NR	.	247b	Varying Titles	.	.	.	TRLN
247	FORMER TITLE	R	.	b	Remainder of title	NR	.	247b	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
247	FORMER TITLE	R	.	f	Date or sequential designation	NR	.	247f	Varying Titles	.	.	.	TRLN
247	FORMER TITLE	R	.	f	Date or sequential designation	NR	.	247f	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
247	FORMER TITLE	R	.	h	Medium	NR	.	247h	Varying Titles	.	.	.	TRLN
247	FORMER TITLE	R	.	h	Medium	NR	.	247h	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
247	FORMER TITLE	R	.	n	Number of part/section of a work	R	.	247n	Varying Titles	.	.	.	TRLN
247	FORMER TITLE	R	.	n	Number of part/section of a work	R	.	247n	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
247	FORMER TITLE	R	.	p	Name of part/section of a work	R	.	247p	Varying Titles	.	.	.	TRLN
247	FORMER TITLE	R	.	p	Name of part/section of a work	R	.	247p	Journal Varying Title	.	.	LDR/07=s && 008/21=[pP]	TRLN
250	EDITION STATEMENT	R	.	a	Edition statement	NR	.	250a	Edition	.	.	.	TRLN
250	EDITION STATEMENT	R	.	b	Remainder of edition statement	NR	.	250b	Edition	.	.	.	TRLN
254	MUSICAL PRESENTATION STATEMENT	NR	.	a	Musical presentation statement	NR	.	254a	Musical Presentation	.	.	.	TRLN
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	a	Statement of scale	NR	.	255a	Cartographic Data	.	.	.	TRLN
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	b	Statement of projection	NR	.	255b	Cartographic Data	.	.	.	TRLN
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	c	Statement of coordinates	NR	.	255c	Cartographic Data	.	.	.	TRLN
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	d	Statement of zone	NR	.	255d	Cartographic Data	.	.	.	TRLN
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	e	Statement of equinox	NR	.	255e	Cartographic Data	.	.	.	TRLN
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	f	Outer G-ring coordinate pairs	NR	.	255f	Cartographic Data	.	.	.	TRLN
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	g	Exclusion G-ring coordinate pairs	NR	.	255g	Cartographic Data	.	.	.	TRLN
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	a	Place of publication, distribution, etc.	R	.	260a	Imprint	.	.	.	TRLN
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	b	Name of publisher, distributor, etc.	R	.	260b	Imprint	.	.	.	TRLN
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	b	Name of publisher, distributor, etc.	R	.	260b	Publisher	.	.	.	TRLN
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	c	Date of publication, distribution, etc.	R	.	260c	Imprint	.	.	.	TRLN
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	c	Date of publication, distribution, etc.	R	.	260c	Published	.	.	.	TRLN
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	e	Place of manufacture	R	.	260e	Imprint	.	.	.	TRLN
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	f	Manufacturer	R	.	260f	Imprint	.	.	.	TRLN
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	f	Manufacturer	R	.	260f	Publisher	.	.	.	TRLN
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	g	Date of manufacture	R	.	260g	Imprint	.	.	.	TRLN
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	a	Place of production, release, etc.	NR	.	262a	Imprint	.	.	.	TRLN
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	b	Publisher or trade name	NR	.	262b	Imprint	.	.	.	TRLN
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	b	Publisher or trade name	NR	.	262b	Sound Recording Imprint	.	.	.	TRLN
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	c	Date of production, release, etc.	NR	.	262c	Imprint	.	.	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	a	Place of production, publication, distribution, manufacture	R	.	264a	Distribution Statement	.	2	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	a	Place of production, publication, distribution, manufacture	R	.	264a	Imprint	.	1	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	a	Place of production, publication, distribution, manufacture	R	.	264a	Manufacturer Statement	.	3	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	a	Place of production, publication, distribution, manufacture	R	.	264a	Production Statement	.	0	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	b	Name of producer, publisher, distributor, manufacturer	R	.	264b	Distribution Statement	.	2	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	b	Name of producer, publisher, distributor, manufacturer	R	.	264b	Distributor	.	2	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	b	Name of producer, publisher, distributor, manufacturer	R	.	264b	Imprint	.	1	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	b	Name of producer, publisher, distributor, manufacturer	R	.	264b	Manufacturer	.	3	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	b	Name of producer, publisher, distributor, manufacturer	R	.	264b	Manufacturer Statement	.	3	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	b	Name of producer, publisher, distributor, manufacturer	R	.	264b	Producer	.	0	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	b	Name of producer, publisher, distributor, manufacturer	R	.	264b	Production Statement	.	0	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	b	Name of producer, publisher, distributor, manufacturer	R	.	264b	Publisher	.	1	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	c	Date of production, publication, distribution, manufacture, or copyright notice	R	.	264c	Copyright	.	4	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	c	Date of production, publication, distribution, manufacture, or copyright notice	R	.	264c	Copyright Statement	.	4	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	c	Date of production, publication, distribution, manufacture, or copyright notice	R	.	264c	Distribution Statement	.	2	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	c	Date of production, publication, distribution, manufacture, or copyright notice	R	.	264c	Imprint	.	1	.	TRLN
