Argot field,source data format,element/field,subelement/field(s),constraints,processing,notes
creators_and_contributors_related_work_author(s),MARC,775,a,na,na,.
creators_and_contributors_related_work_author(s),MARC,777,a,na,na,"777 can't be mapped to included work, since the reciprocal link (to the broader resource) in the record for the narrower resource would also be coded as a 777"
creators_and_contributors_related_work_author(s),MARC,780,a,na,na,.
creators_and_contributors_related_work_author(s),MARC,785,a,na,na,.
creators_and_contributors_related_work_author(s),MARC,786,a,na,na,.
creators_and_contributors_related_work_author(s),MARC,787,a,na,na,.
subject_topic_lcsh,MARC,600,abcdfghjklmnopqrstu,i2=0,Trim spaces; remove trailing punctuation,"In Endeca data model, people (and their works) as topics are mapped into subject:topic facet"
subject_topic_lcsh,MARC,600,abcdfghjklmnopqrstu,i2=7 AND $2=lcsh,Trim spaces; remove trailing punctuation,"In Endeca data model, people as topics are mapped into subject:topic facet"
subject_topic_lcsh,MARC,600,x,i2=0,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,600,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,610,abcdfghklmnoprstu,i2=0,Trim spaces; remove trailing punctuation,"In Endeca data model, corporate bodies (and their works) as topics are mapped into subject:topic facet"
subject_topic_lcsh,MARC,610,abcdfghklmnoprstu,i2=7 AND $2=lcsh,Trim spaces; remove trailing punctuation,"In Endeca data model, corporate bodies (and their works) as topics are mapped into subject:topic facet"
subject_topic_lcsh,MARC,610,x,i2=0,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,610,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,611,acdefghklnpqstu,i2=0,Trim spaces; remove trailing punctuation,"In Endeca data model, meeting names (and their works) as topics are mapped into subject:topic facet"
subject_topic_lcsh,MARC,611,acdefghklnpqstu,i2=7 AND $2=lcsh,Trim spaces; remove trailing punctuation,"In Endeca data model, meeting names (and their works) as topics are mapped into subject:topic facet"
subject_topic_lcsh,MARC,611,x,i2=0,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,611,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,630,adfghklmnoprst,i2=0,Trim spaces; remove trailing punctuation,"In Endeca data model, works as topics are mapped into subject:topic facet"
subject_topic_lcsh,MARC,630,adfghklmnoprst,i2=7 AND $2=lcsh,Trim spaces; remove trailing punctuation,"In Endeca data model, works as topics are mapped into subject:topic facet"
subject_topic_lcsh,MARC,630,x,i2=0,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,630,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,647,acdg,i2=0,Trim spaces; remove trailing punctuation,.
subject_topic_lcsh,MARC,647,acdg,i2=7 AND $2=lcsh,Trim spaces; remove trailing punctuation,.
subject_topic_lcsh,MARC,647,x,i2=0,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,647,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,648,x,i2=0,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,648,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,650,abcdg,i2=0,Trim spaces; remove trailing punctuation,.
subject_topic_lcsh,MARC,650,abcdg,i2=7 AND $2=lcsh,Trim spaces; remove trailing punctuation,.
subject_topic_lcsh,MARC,650,x,i2=0,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,650,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,651,x,i2=0,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,651,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,656,a,i2=7 AND $2=lcsh,Trim spaces; remove trailing punctuation,.
subject_topic_lcsh,MARC,656,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_topic_lcsh,MARC,657,a,i2=7 AND $2=lcsh,Trim spaces; remove trailing punctuation,.
subject_topic_lcsh,MARC,657,x,i2=7 AND $2=lcsh,Each $x value in field is separate value; remove trailing punctuation,.
subject_genre,MARC,8,33-34,LDR/06 = a AND LDR/07 =~ [acdm],"For each byte value present: map a value from 008_literary_form.json if there is a match. If there is no match, don't populate",.
