marc tag	omission type	omission reason category	omission details
082	temporary	low priority	"DDC call numbers from ITEM OR HOLDINGS RECORDS should be being handled properly. Using bib 082/092 data might be of interest to our libraries using Dewey for ebooks which may not have call numbers in items/holdings. This will only be useful AFTER there is a call number search/browse that handles DDC, however"
083	temporary	low priority	"36 occurrences in UNC catalog on 2019-07-31, several of them miscoded. If 082 is ever mapped from bibs, consider mapping 083 to support polyhierarchical classification"
084	permanent	irrelevant	Classification scheme not used in significant/meaningful way in our libraries
085	permanent	irrelevant	*Deity* protect us from ever having to code/use this field in MARC
086	temporary	low priority	"SUDOC call numbers from ITEM OR HOLDINGS RECORDS should be being handled properly. Using bib 086 data might be of interest to our libraries for e-gov docs which may not have call numbers in items/holdings. This will only be useful AFTER there is a call number search/browse that handles SUDOC, however"
242	temporary	low priority	"627 occurrences in UNC catalog on 2019-07-31. Could be mapped as title_variant, type:variant, label:Translation of title"
243	temporary	low priority	2 occurrences in UNC catalog on 2019-07-31. Could be incorporated in logic for creating this_work field if desired
256	permanent	of limited use to typical user	"Data in this field tends to be recorded elsewhere now. This field contains a lot ofdetails that maybe seemed important in the early 1990s, but that no one really cares about in an online catalog --- the fact that a web page is ""HTML encoded,"" or a file is ""ca. 70 kilobytes,"" for instance"
258	permanent	irrelevant	No specialized postage collections here?
263	permanent	of limited use to typical user	"If a to-be-published thing is not published yet, it's probably not available to our users. If it has been published, our users care about the 260/4 date, not this, which does serve an important function in pre-publication CIP records (this field is supposed to be removed from CIP records after an item is published, but that doesn't always happen)"
270	permanent	of limited use to typical user	"Not kept up-to-date when contact information changes. In general, we want our users to contact *us* when they have questions or issues about a resource, not some external contact."
306	permanent	data unusable	"Usually duplicates data recorded in 300 and/or 505. Recorded in a cryptic manner and there's no way to specify which duration recorded goes with which part of the described item, if it's a multi-part thing"
307	permanent	irrelevant	"No fields in UNC catalog. Hours an item is available is kind of a weird concept in the catalog, too."
336	temporary	low priority	Terms used are not user-friendly; this information is usually better expressed elsewhere in the record
337	temporary	low priority	Terms used are not user-friendly; this information is usually better expressed elsewhere in the record
338	temporary	low priority	Terms used are not user-friendly; this information is usually better expressed elsewhere in the record
341	temporary	needs review	New field introduced 2018-11. 0 occurrences in UNC catalog as of 2019-07-31. Could be important going forward if populated.
342	temporary	low priority	"Complex data mapping; appears in <2000 records in UNC catalog on 2018-05-21. Need to assess if this adds useful info, and if so, how to map."
343	temporary	infrequently used	only 2 records in UNC catalog
348	temporary	low priority	Look into whether it should map to genre
355	permanent	irrelevant	No records in UNC catalog
357	permanent	irrelevant	No records in UNC catalog
363	permanent	data unusable	"Holdings-like hell format specifying exact dates; only 10 in UNC catalog, most look like they should be 362s"
365	permanent	of limited use to typical user	We don't want to show this to users. It cannot be kept up to date
366	permanent	of limited use to typical user	We don't want to show this to users. It cannot be kept up to date
370	temporary	infrequently used	22 fields in UNC catalog -- maybe one day map to a subject-ish geographical entry or something?
377	temporary	infrequently used	1 field in UNC catalog -- maybe one day map to language facet if it adds unique info
380	temporary	low priority	Look into mapping to genre
381	permanent	data unusable	"Mishmash of different kinds of data issuing body, arranged statement of music, version, or a geographic term with no coding that tells you what the data is"
383	permanent	duplicate data	"Currently duplicates data recorded in other parts of the record, particularly 130 and 240 fields."
385	temporary	low priority	Look into mapping to `note_general` with label `For audiences`
386	temporary	infrequently used	"Could eventually leverage in some ""Works by"" field, but only 248 fields in UNC's catalog today 2018-05-18"
388	temporary	infrequently used	Only 3 fields in UNC catalog on 2018-05-18. Eventually could be mapped as a chronological subject or something.
530	permanent	of limited use to typical user	Patrons do not care if item is available in another format if they cannot get to that format from our catalog. Midleading if not adjusted and kept current with our holdings
532	temporary	needs review	New field introduced 2018-11. Textual/human-readable version of information coded in a more structured way in 341. 0 occurrences in UNC catalog on 2019-07-31. Could be important going forward if populated.
542	temporary	needs review	"276 occurrences in UNC catalog on 2019-07-31. Initial decision to NOT map based on: historically NOT representing rights-holder in bibliographic descriptions --- seems potentially useful for internal library applications, but difficult to keep up-to-date across the board and not very useful for discovery. If the rights involve access restrictions, those are communicated to the end user in a 506"
552	temporary	low priority	0 occurrences in UNC catalog on 2019-07-31. Would be complex to transform into something that would make sense to a user in catalog display. Examples in MARC documentation aren't really enough to figure out what that logic would need to be
565	temporary	low priority	2 occurrences in UNC catalog on 2019-07-31. Would require special logic to transform into a note that makes sense in the display
583	permanent	internal	Only select librarians can interpret and understand what this field means. Important for internal library work. Irrelevant for discovery.
584	permanent	internal	0 occurrences in UNC catalog on 2019-07-31.
588	permanent	internal	Public does not care what part of an item was used to create catalog description.
654	temporary	low priority	76 occurrences in UNC catalog on 2019-07-31. Would require field-specific logic to process the data into headings and facet values
658	temporary	low priority	73 occurrences in UNC catalog on 2019-07-31. Most of those look mis-coded
751	temporary	needs review	"Relatively new field, introduced 2017-12. 0 occurrences in UNC catalog on 2019-07-31. If it starts being populated in a useful way, perhaps it could be mapped to origin_place_facet / origin_place_search"
753	permanent	of limited use to typical user	"Contains values like ""|aIBM-PC|cDOS 3.0,"" ""|aWindows 3.1/95"" and ""|aMACINTOSH."
754	permanent	irrelevant	1 occurrence in UNC catalog on 2019-07-31. Seems relevant to plant/zoological collections
758	temporary	needs review	"New-ish field introduced 2017. 0 occurrences in UNC catalog on 2019-07-31. Not sure if/how this is being populated and whether it might be useful. Could have potential useful mappings to related_work field, but figuring that out would be a bit complex, and it might duplicate information recorded elsewhere in the record (?)"
776	permanent	of limited use to typical user	"Patrons do not care if item is available in another format if they cannot get to that format from our catalog. If not adjusted and kept current with our holdings, can be misleading and result in a link that returns only the record the link was in (because we don't have the thing in any other formats)"
841	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
842	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
843	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
844	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
845	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
850	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
852	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
853	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
854	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
855	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
863	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
864	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
865	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
866	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
867	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
868	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
876	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
877	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
878	permanent	irrelevant	item/holdings level data we are handling in other ways and NOT pulling from bib records
880	false 'omission'	na	"880s are handled like the fields they are linked to. Top-priority Argot fields already handle linked 880 fields, but there are other fields that still need to be set up to handle linked 880s. There are tickets for these in the TRLN JIRA"
882	permanent	irrelevant	Used in 'deleted' records that are still in a system. We are not showing deleted records in the online catalog
883	permanent	of limited use to typical user	Users don't care about the details of how/when metadata was generated
884	permanent	of limited use to typical user	Users don't care if/how/when we converted a record from one cataloging standard to another
885	temporary	low priority	"Relatively new field, introduced 2016. On one hand, seems like it could maybe ever be used to improve rollup or matching against our load-time content-providing APIs. On the other, there is no clear standardization of how to use this field and that means the data in it is likely to become too messy to use for anything. As of 2019-07-31, the 40 occurrences in UNC catalog are in some Alexander Street Press vendor records"
886	permanent	irrelevant	"0 instances in UNC catalog on 2019-07-31 -- no need to support INTERMARC, UKMARC, etc."
887	permanent	irrelevant	0 instances in UNC catalog on 2019-07-31 -- no need to support non-MARC data embedded in MARC (shudder)
