MARC tag	Field name	Field repeatability	Field note	Subfield delimiter	Subfield name	Subfield repeatability	Subfield note
034	CODED CARTOGRAPHIC MATHEMATICAL DATA	R	.	8	Field link and sequence number	R	.
035	SYSTEM CONTROL NUMBER	R	.	a	System control number	NR	.
035	SYSTEM CONTROL NUMBER	R	.	z	Canceled/invalid control number	R	.
035	SYSTEM CONTROL NUMBER	R	.	6	Linkage	NR	.
035	SYSTEM CONTROL NUMBER	R	.	8	Field link and sequence number	R	.
036	ORIGINAL STUDY NUMBER FOR COMPUTER DATA FILES	NR	.	a	Original study number	NR	.
036	ORIGINAL STUDY NUMBER FOR COMPUTER DATA FILES	NR	.	b	Source (agency assigning number)	NR	.
036	ORIGINAL STUDY NUMBER FOR COMPUTER DATA FILES	NR	.	6	Linkage	NR	.
036	ORIGINAL STUDY NUMBER FOR COMPUTER DATA FILES	NR	.	8	Field link and sequence number	R	.
037	SOURCE OF ACQUISITION	R	.	a	Stock number	NR	.
037	SOURCE OF ACQUISITION	R	.	b	Source of stock number/acquisition	NR	.
037	SOURCE OF ACQUISITION	R	.	c	Terms of availability	R	.
037	SOURCE OF ACQUISITION	R	.	f	Form of issue	R	.
037	SOURCE OF ACQUISITION	R	.	g	Additional format characteristics	R	.
037	SOURCE OF ACQUISITION	R	.	n	Note	R	.
037	SOURCE OF ACQUISITION	R	.	3	Materials specified	NR	.
037	SOURCE OF ACQUISITION	R	.	5	Institution to which field applies	R	.
037	SOURCE OF ACQUISITION	R	.	6	Linkage	NR	.
037	SOURCE OF ACQUISITION	R	.	8	Field link and sequence number	R	.
038	RECORD CONTENT LICENSOR	NR	.	a	Record content licensor	NR	.
038	RECORD CONTENT LICENSOR	NR	.	6	Linkage	NR	.
038	RECORD CONTENT LICENSOR	NR	.	8	Field link and sequence number	R	.
040	CATALOGING SOURCE	NR	.	a	Original cataloging agency	NR	.
040	CATALOGING SOURCE	NR	.	b	Language of cataloging	NR	.
040	CATALOGING SOURCE	NR	.	c	Transcribing agency	NR	.
040	CATALOGING SOURCE	NR	.	d	Modifying agency	R	.
040	CATALOGING SOURCE	NR	.	e	Description conventions	R	.
040	CATALOGING SOURCE	NR	.	6	Linkage	NR	.
040	CATALOGING SOURCE	NR	.	8	Field link and sequence number	R	.
041	LANGUAGE CODE	R	.	a	Language code of text/sound track or separate title	R	.
041	LANGUAGE CODE	R	.	b	Language code of summary or abstract	R	.
041	LANGUAGE CODE	R	.	c	Languages of separate titles	.	[OBSOLETE]
041	LANGUAGE CODE	R	.	c	languages of available translation	.	[OBSOLETE]
041	LANGUAGE CODE	R	.	d	Language code of sung or spoken text	R	.
041	LANGUAGE CODE	R	.	e	Language code of librettos	R	.
041	LANGUAGE CODE	R	.	f	Language code of table of contents	R	.
041	LANGUAGE CODE	R	.	g	Language code of accompanying material other than librettos	R	.
041	LANGUAGE CODE	R	.	h	Language code of original and/or intermediate translations of text	R	[REDEFINED]
041	LANGUAGE CODE	R	.	h	Language code of original	R	.
041	LANGUAGE CODE	R	.	j	Language code of subtitles or captions	R	.
041	LANGUAGE CODE	R	.	k	Language code of intermediate translations	R	.
041	LANGUAGE CODE	R	.	m	Language code of original accompanying materials other than librettos	R	.
041	LANGUAGE CODE	R	.	n	Language code of original libretto	R	.
041	LANGUAGE CODE	R	.	2	Source of code	NR	.
041	LANGUAGE CODE	R	.	6	Linkage	NR	.
041	LANGUAGE CODE	R	.	8	Field link and sequence number	R	.
042	AUTHENTICATION CODE	NR	.	a	Authentication code	R	.
043	GEOGRAPHIC AREA CODE	NR	.	a	Geographic area code	R	.
043	GEOGRAPHIC AREA CODE	NR	.	b	Local GAC code	R	.
043	GEOGRAPHIC AREA CODE	NR	.	c	ISO code	R	.
043	GEOGRAPHIC AREA CODE	NR	.	0	Authority record control number or standard number	R	.
043	GEOGRAPHIC AREA CODE	NR	.	1	Real World Object URI	R	.
043	GEOGRAPHIC AREA CODE	NR	.	2	Source of local code	R	.
043	GEOGRAPHIC AREA CODE	NR	.	6	Linkage	NR	.
043	GEOGRAPHIC AREA CODE	NR	.	8	Field link and sequence number	R	.
044	COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE	NR	.	a	MARC country code	R	.
044	COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE	NR	.	b	Local subentity code	R	.
044	COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE	NR	.	c	ISO country code	R	.
044	COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE	NR	.	2	Source of local subentity code	R	.
044	COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE	NR	.	6	Linkage	NR	.
044	COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE	NR	.	8	Field link and sequence number	R	.
045	TIME PERIOD OF CONTENT	NR	.	a	Time period code	R	.
045	TIME PERIOD OF CONTENT	NR	.	b	Formatted 9999 B.C. through C.E. time period	R	.
045	TIME PERIOD OF CONTENT	NR	.	c	Formatted pre-9999 B.C. time period	R	.
045	TIME PERIOD OF CONTENT	NR	.	6	Linkage	NR	.
045	TIME PERIOD OF CONTENT	NR	.	8	Field link and sequence number	R	.
046	SPECIAL CODED DATES	R	.	a	Type of date code	NR	.
046	SPECIAL CODED DATES	R	.	b	Date 1 (B.C.E. date)	NR	.
046	SPECIAL CODED DATES	R	.	c	Date 1 (C.E. date)	NR	.
046	SPECIAL CODED DATES	R	.	d	Date 2 (B.C.E. date)	NR	.
046	SPECIAL CODED DATES	R	.	e	Date 2 (C.E. date)	NR	.
046	SPECIAL CODED DATES	R	.	j	Date resource modified	NR	.
046	SPECIAL CODED DATES	R	.	k	Beginning or single date created	NR	.
046	SPECIAL CODED DATES	R	.	l	Ending date created	NR	.
046	SPECIAL CODED DATES	R	.	m	Beginning of date valid	NR	.
046	SPECIAL CODED DATES	R	.	o	Single or starting date for aggregated content	NR	.
046	SPECIAL CODED DATES	R	.	p	Ending date for aggregated content	NR	.
046	SPECIAL CODED DATES	R	.	n	End of date valid	NR	.
046	SPECIAL CODED DATES	R	.	2	Source of date	NR	.
046	SPECIAL CODED DATES	R	.	6	Linkage	NR	.
046	SPECIAL CODED DATES	R	.	8	Field link and sequence number	R	.
047	FORM OF MUSICAL COMPOSITION CODE	R	.	a	Form of musical composition code	R	.
047	FORM OF MUSICAL COMPOSITION CODE	R	.	2	Source of code	NR	.
047	FORM OF MUSICAL COMPOSITION CODE	R	.	8	Field link and sequence number	R	.
048	NUMBER OF MUSICAL INSTRUMENTS OR VOICES CODE	R	.	a	Performer or ensemble	R	.
048	NUMBER OF MUSICAL INSTRUMENTS OR VOICES CODE	R	.	b	Soloist	R	.
048	NUMBER OF MUSICAL INSTRUMENTS OR VOICES CODE	R	.	2	Source of code	NR	.
048	NUMBER OF MUSICAL INSTRUMENTS OR VOICES CODE	R	.	8	Field link and sequence number	R	.
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	a	Classification number	R	.
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	b	Item number	NR	.
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	d	Supplementary class number	.	[OBSOLETE]
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	0	Authority record control number or standard number	R	.
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	1	Real World Object URI	R	.
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	3	Materials specified	NR	.
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	6	Linkage	NR	.
050	LIBRARY OF CONGRESS CALL NUMBER	R	.	8	Field link and sequence number	R	.
051	LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT	R	.	a	Classification number	NR	.
051	LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT	R	.	b	Item number	NR	.
051	LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT	R	.	c	Copy information	NR	.
051	LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT	R	.	8	Field link and sequence number	R	.
052	GEOGRAPHIC CLASSIFICATION	R	.	a	Geographic classification area code	NR	.
052	GEOGRAPHIC CLASSIFICATION	R	.	b	Geographic classification subarea code	R	.
052	GEOGRAPHIC CLASSIFICATION	R	.	c	Subject	.	[OBSOLETE]
052	GEOGRAPHIC CLASSIFICATION	R	.	d	Populated place name	R	.
052	GEOGRAPHIC CLASSIFICATION	R	.	0	Authority record control number or standard number	R	.
052	GEOGRAPHIC CLASSIFICATION	R	.	1	Real World Object URI	R	.
052	GEOGRAPHIC CLASSIFICATION	R	.	2	Code source	NR	.
052	GEOGRAPHIC CLASSIFICATION	R	.	6	Linkage	NR	.
052	GEOGRAPHIC CLASSIFICATION	R	.	8	Field link and sequence number	R	.
055	CLASSIFICATION NUMBERS ASSIGNED IN CANADA	R	.	a	Classification number	NR	.
055	CLASSIFICATION NUMBERS ASSIGNED IN CANADA	R	.	b	Item number	NR	.
055	CLASSIFICATION NUMBERS ASSIGNED IN CANADA	R	.	0	Authority record control number or standard number	R	.
055	CLASSIFICATION NUMBERS ASSIGNED IN CANADA	R	.	1	Real World Object URI	R	.
055	CLASSIFICATION NUMBERS ASSIGNED IN CANADA	R	.	2	Source of call/class number	NR	.
055	CLASSIFICATION NUMBERS ASSIGNED IN CANADA	R	.	6	Linkage	NR	.
055	CLASSIFICATION NUMBERS ASSIGNED IN CANADA	R	.	8	Field link and sequence number	R	.
060	NATIONAL LIBRARY OF MEDICINE CALL NUMBER	R	.	a	Classification number	R	.
060	NATIONAL LIBRARY OF MEDICINE CALL NUMBER	R	.	b	Item number	NR	.
060	NATIONAL LIBRARY OF MEDICINE CALL NUMBER	R	.	0	Authority record control number or standard number	R	.
060	NATIONAL LIBRARY OF MEDICINE CALL NUMBER	R	.	1	Real World Object URI	R	.
060	NATIONAL LIBRARY OF MEDICINE CALL NUMBER	R	.	8	Field link and sequence number	R	.
061	NATIONAL LIBRARY OF MEDICINE COPY STATEMENT	R	.	a	Classification number	R	.
061	NATIONAL LIBRARY OF MEDICINE COPY STATEMENT	R	.	b	Item number	NR	.
061	NATIONAL LIBRARY OF MEDICINE COPY STATEMENT	R	.	c	Copy information	NR	.
061	NATIONAL LIBRARY OF MEDICINE COPY STATEMENT	R	.	8	Field link and sequence number	R	.
066	CHARACTER SETS PRESENT	NR	.	a	Primary G0 character set	NR	.
066	CHARACTER SETS PRESENT	NR	.	b	Primary G1 character set	NR	.
066	CHARACTER SETS PRESENT	NR	.	c	Alternate G0 or G1 character set	R	.
070	NATIONAL AGRICULTURAL LIBRARY CALL NUMBER	R	.	a	Classification number	R	.
070	NATIONAL AGRICULTURAL LIBRARY CALL NUMBER	R	.	b	Item number	NR	.
070	NATIONAL AGRICULTURAL LIBRARY CALL NUMBER	R	.	0	Authority record control number or standard number	R	.
070	NATIONAL AGRICULTURAL LIBRARY CALL NUMBER	R	.	1	Real World Object URI	R	.
070	NATIONAL AGRICULTURAL LIBRARY CALL NUMBER	R	.	8	Field link and sequence number	R	.
071	NATIONAL AGRICULTURAL LIBRARY COPY STATEMENT	R	.	a	Classification number	R	.
071	NATIONAL AGRICULTURAL LIBRARY COPY STATEMENT	R	.	b	Item number	NR	.
071	NATIONAL AGRICULTURAL LIBRARY COPY STATEMENT	R	.	c	Copy information	NR	.
071	NATIONAL AGRICULTURAL LIBRARY COPY STATEMENT	R	.	8	Field link and sequence number	R	.
072	SUBJECT CATEGORY CODE	R	.	a	Subject category code	NR	.
072	SUBJECT CATEGORY CODE	R	.	x	Subject category code subdivision	R	.
072	SUBJECT CATEGORY CODE	R	.	2	Source	NR	.
072	SUBJECT CATEGORY CODE	R	.	6	Linkage	NR	.
072	SUBJECT CATEGORY CODE	R	.	8	Field link and sequence number	R	.
074	GPO ITEM NUMBER	R	.	a	GPO item number	NR	.
074	GPO ITEM NUMBER	R	.	z	Canceled/invalid GPO item number	R	.
074	GPO ITEM NUMBER	R	.	8	Field link and sequence number	R	.
080	UNIVERSAL DECIMAL CLASSIFICATION NUMBER	R	.	a	Universal Decimal Classification number	NR	.
080	UNIVERSAL DECIMAL CLASSIFICATION NUMBER	R	.	b	Item number	NR	.
080	UNIVERSAL DECIMAL CLASSIFICATION NUMBER	R	.	x	Common auxiliary subdivision	R	.
080	UNIVERSAL DECIMAL CLASSIFICATION NUMBER	R	.	0	Authority record control number or standard number	R	.
080	UNIVERSAL DECIMAL CLASSIFICATION NUMBER	R	.	1	Real World Object URI	R	.
080	UNIVERSAL DECIMAL CLASSIFICATION NUMBER	R	.	2	Edition identifier	NR	.
080	UNIVERSAL DECIMAL CLASSIFICATION NUMBER	R	.	6	Linkage	NR	.
080	UNIVERSAL DECIMAL CLASSIFICATION NUMBER	R	.	8	Field link and sequence number	R	.
082	DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	a	Classification number	R	.
082	DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	b	Item number	NR	.
082	DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	b	DDC number--abridged NST version	.	[OBSOLETE]
082	DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	m	Standard or optional designation	NR	.
082	DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	q	Assigning agency	NR	.
082	DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	2	Edition number	NR	.
082	DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	6	Linkage	NR	.
082	DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	8	Field link and sequence number	R	.
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	a	Classification number	R	.
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	c	Classification number--Ending number of span	R	.
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	m	Standard or optional designation	NR	.
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	q	Assigning agency	NR	.
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	y	Table sequence number for internal subarrangement or add table	R	.
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	z	Table identification	R	.
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	2	Edition number	NR	.
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	6	Linkage	NR	.
083	ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER	R	.	8	Field link and sequence number	R	.
084	OTHER CLASSIFICATION NUMBER	R	.	a	Classification number	R	.
084	OTHER CLASSIFICATION NUMBER	R	.	b	Item number	NR	.
084	OTHER CLASSIFICATION NUMBER	R	.	q	Assigning agency	NR	.
084	OTHER CLASSIFICATION NUMBER	R	.	0	Authority record control number or standard number	R	.
084	OTHER CLASSIFICATION NUMBER	R	.	1	Real World Object URI	R	.
084	OTHER CLASSIFICATION NUMBER	R	.	2	Source of number	NR	.
084	OTHER CLASSIFICATION NUMBER	R	.	6	Linkage	NR	.
084	OTHER CLASSIFICATION NUMBER	R	.	8	Field link and sequence number	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	a	Number where instructions are found-single number or beginning number of span	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	b	Base number	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	c	Classification number-ending number of span	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	f	Facet designator	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	r	Root number	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	s	Digits added from classification number in schedule or external table	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	t	Digits added from internal subarrangement or add table	R	.
