argot_field,has parent,is parent?,vernacular treatment,vernacular status,type,argot-marc processor/pattern,category,provisional,responsibility,obligation,searchable in,retain order,facet,Brief display,Full display,note on display,definition,rationale,relevance importance (1=most imp),endeca equivalent,notes,implementation details,documentation,JIRA issue,issue ct,mapping ct,done in mta?,tests?,in schema?
edition[lang],edition,n,na - supports vernacular processing,{na},field element,labeled_indexed_value,edition,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-edition-code,https://trlnmain.atlassian.net/browse/TD-714,0,0,.,.,y
edition[value],edition,n,vernacular processing needed,define new element - map/doc needed,field element,labeled_indexed_value,edition,n,shared,{1},keyword,x,x,no label,Summary record > no label,x,Value of edition statement,x,?,Edition;;;Edition Vernacular;;;Edition Vernacular Segmented ,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-edition-code,https://trlnmain.atlassian.net/browse/TD-478,0,2,n,y,y
frequency,x,y,parent field -- see child elements,{na},parent field,.,serials details,n,shared,"{0,1}",not indexed,x,x,x,Other details > (serials cluster) > Current frequency:,x,Current frequency of continuing resource,.,x,Current Frequency,x,.,needed,.,0,0,y,y,y
frequency[current],frequency,n,pass through/store vernacular -- no special processing,test/verification needed,field element,.,serials details,n,shared,"{0,1}",not indexed,x,x,x,Other details > (serials cluster) > Current frequency:,x,Current frequency of continuing resource,.,x,Current Frequency,x,.,needed,.,0,1,y,y,y
frequency[former],frequency,n,pass through/store vernacular -- no special processing,test/verification needed,field element,.,serials details,n,shared,"{0,n}",not indexed,x,x,x,Other details > (serials cluster) > Current frequency:,x,Former frequency (or frequencies) of continuing resource,.,x,Former Frequency,x,.,needed,.,0,1,y,y,y
genre_headings,x,y,parent field -- see child elements,{na},parent field,headings,subject,n,shared,"{0,n}",not indexed,y,x,x,x,x,Pre-coordinate genre/form headings,"Display in record (in order); adaptive hyperlinking for browsing/exploring; feed into autosuggest and/or ""related titles"" features?",x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,https://trlnmain.atlassian.net/browse/TD-469,0,0,.,.,y
genre_headings[lang],genre_headings,n,na - supports vernacular processing,{na},field element,headings,subject,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,https://trlnmain.atlassian.net/browse/TD-738,0,0,.,.,y
genre_headings[value],genre_headings,n,vernacular processing needed,partially mapped/doced,field element,headings,subject,n,shared,{1},subject;;;keyword,x,x,x,?,x,Value of the heading,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,https://trlnmain.atlassian.net/browse/TD-469,0,5,.,.,y
holdings,x,y,parent field -- see child elements,{na},parent field,array of serialized JSON strings not flattened,holdings data,n,local,"{0,1}",not indexed,y,x,no label,Where to find it,x,"Array of holdings elements, each representing a holdings record attached to the bib. Each holdings element is an an escaped JSON string",.,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,0,0,.,.,.
holdings[call_no],holdings,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,holdings data,n,local,"{0,1}",not indexed,x,x,no label -- translated into display value --  in Call Number column in bolded (but not highlighted) narrower location row,no label -- translated into display value --  in Call Number column in bolded (but not highlighted) narrower location row,x,Full call number from holdings record (classification number + shelving cutter + shelf marks + volume/copy designators),Obtain resource,x,SerialHoldingsSummary > Call #,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,0,1,.,.,.
holdings[holdings_id],holdings,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,holdings data,n,local,"{0,1}",not indexed,x,x,x,"(UNC serials: used to generate ""Latest Received"" link in holdings record display)",x,Unique identifier for source data holdings record in host institution's ILS. ,"Of possible use for requesting or other features;;;UNC uses this to link to ""Latest Received"" display from our Sierra OPAC",x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,0,1,.,.,.
holdings[latest_received_text],holdings,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,holdings data,n,local,"[0,1]",not indexed,x,x,x,Latest Received,Displayed in serials records only,"For serials: indicates text of link for latest_received_href if that is present; if only this property is present, displayed as plain text with label “Latest Received” ",NCSU merges in textual statements about latest received issues,x,Most Recently Received (*),x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,https://trlnmain.atlassian.net/browse/TD-489,0,1,.,.,.
holdings[loc_b],holdings,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,holdings data,n,local,{1},not indexed,x,x,no label -- translated into display value -- highlighted broader location row,no label -- translated into display value -- highlighted broader location row,x,Broad location: Library building/branch/larger location in which the shelving location is found,Inform user what library building or main section/area to go to in order to find the items covered by holdings statement,x,SerialHoldingsSummary > Library,x,ILS code. Do not translate to human-readable label in MARC-to-Argot,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,0,1,.,.,.
holdings[loc_n],holdings,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,holdings data,n,local,{1},not indexed,x,x,no label -- translated into display value --  in Location column in bolded (but not highlighted) narrower location row,no label -- translated into display value --  in Location column in bolded (but not highlighted) narrower location row,x,"Narrow location: Area of library, shelving location, etc. code for items covered by the holdings statement",Inform user what section/area of stacks to go to in order to find the items covered by holdings statement,x,SerialHoldingsSummary > Location,x,ILS code. Do not translate to human-readable label in MARC-to-Argot,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,0,1,.,.,.
holdings[notes],holdings,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,holdings data,n,local,"{0,n}",not indexed,y,x,?,?,x,Public notes from the holdings record,Provide information on the run/span of items described that cannot be recorded elsewhere in holdings record. ,x,SerialHoldingsSummary > Item Note,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,0,1,.,.,.
holdings[summary],holdings,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,holdings data,n,local,"{0,1}",not indexed,y,x,no label -- translated into display value --  in Status column in bolded (but not highlighted) narrower location row,no label -- translated into display value --  in Status column in bolded (but not highlighted) narrower location row,x,"For serials (and for some institutions, monographic series or sets), statement indicating what the library/location has for the title (volumes/years held, gaps, etc) ",See what the library/location has without having to look through all the individual items/volumes,x,SerialHoldingsSummary > Serial Summary,x,"While there will be only 1 'summary' element per 'holding' hash within the 'holdings' array, multiple summary statements may be concatenated into that 'summary' element. In this case, keep the concatenated values in original record order.",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,0,1,.,.,.
id,x,n,na - no vernacular expected,{na},simple field,.,ids,n,local,{1},ids;;;keyword,x,x,x,Other details > (ids cluster) > TRLN Discovery Record ID:,x,"Local ID with institution or other code prepended, creating unique value in TRLN Discovery system","Used in full record URL, is Solr document id, etc.",x,UniqueId,x,.,needed,.,0,4,.,.,y
imprint_main,x,y,parent field -- see child elements,{na},parent field,array of serialized JSON strings not flattened,"publication, etc",n,shared,"{0,2}",not indexed,x,x,no label,Other details > (publication cluster) > Published: ,x,"Main publication statement, or the closest we can get to that. Where there's a single 260/264, we use that. Where there are multiple, we try to find the best one. Refer to documentation linked from here for details on that.","In search results/brief record, we want to show succinct publication info, ideally that which should be used when citing the item.",x,Imprint,Is not displayed in full record if there is an imprint_multiple field,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,0,0,.,.,.
imprint_main[label],imprint_main,n,pass through/store vernacular -- no special processing,test/verification needed,field element,array of serialized JSON strings not flattened,"publication, etc",n,shared,"{0,1}",not indexed,x,x,no label,Other details > (publication cluster) > Published: ,x,Label qualifying the value of field (i.e. part of resource or time span in resource's history to which the information applies),Displayed to contextualize the rest of the data in the field,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,0,2,.,.,.
imprint_main[type],imprint_main,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,"publication, etc",n,shared,{1},not indexed,x,x,x,x,x,"The type of data recorded in the field (publication, distribution, production, manufacture)","When value is NOT 'publication,' may be used to generate display label",x,x,"Is not displayed if value is ""Imprint"",  ""Publication"", or ""Copyright"". Otherwise displays at beginnning of field data: ""Distributed:"", ""Produced:"", ""Manufactured:""",See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,0,5,.,.,.
imprint_main[value],imprint_main,n,pass through/store vernacular -- no special processing,test/verification needed,field element,array of serialized JSON strings not flattened,"publication, etc",n,shared,{1},not indexed,x,x,no label,Other details > (publication cluster) > Published: ,x,"The text of the publication, etc statement",Displayed,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,0,2,.,.,.
imprint_multiple,x,y,parent field -- see child elements,{na},parent field,array of serialized JSON strings not flattened,"publication, etc",n,shared,"{2,n}",not indexed,y,x,x,Other details > (publication cluster) > Published: ,x,"When there is more than one 260/264, records the data from all of them, retaining MARC record order. Includes the value extracted for use in imprint_main.","Show full publication, etc info in details section. This can be helpful in verifying the desired item has been found. It's impossible to 100% know we've chosen the imprint_main value accurately, and all the data recorded in the bib record appears on the resource (or did at some point in time, so may be considered important for description/identification of resource",x,Imprint;;;Production Statement;;;Distribution Statement;;;Manufacturer Statement;;;Copyright Statement,"If this field exists, it is displayed in full record instead of imprint_main",See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,0,0,.,.,.
imprint_multiple[label],imprint_multiple,n,pass through/store vernacular -- no special processing,test/verification needed,field element,array of serialized JSON strings not flattened,"publication, etc",n,shared,"{0,1}",not indexed,x,x,x,Other details > (publication cluster) > Published: ,x,Label qualifying the value of field (i.e. part of resource or time span in resource's history to which the information applies),Displayed to contextualize the rest of the data in the field,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,0,2,.,.,.
imprint_multiple[type],imprint_multiple,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,"publication, etc",n,shared,{1},not indexed,x,x,x,x,x,"The type of data recorded in the field (publication, distribution, production, manufacture)","When value is NOT 'publication,' may be used to generate display label",x,x,"Is not displayed if value is ""Imprint"",  ""Publication"", or ""Copyright"". Otherwise displays at beginnning of field data: ""Distributed:"", ""Produced:"", ""Manufactured:""",See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,0,6,.,.,.
imprint_multiple[value],imprint_multiple,n,pass through/store vernacular -- no special processing,test/verification needed,field element,array of serialized JSON strings not flattened,"publication, etc",n,shared,{1},not indexed,x,x,x,Other details > (publication cluster) > Published: ,x,"The text of the publication, etc statement",Displayed,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,0,2,.,.,.
included_work,x,y,parent field -- see child elements,{na},parent field,work_entry,included works,n,shared,"{0,n}",not indexed,y,x,x,x,x,Included works not handled in a field such as Table of Contents,Navigation/exploration of catalog,high,Constituent Unit Linking;;;Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,0,n,n,.
included_work[author],included_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,included works,n,shared,"{0,1}",author;;;work;;;keyword,x,x,x,This item includes,Hyperlinked. Clicking this segment does an author search,Author of the included work,x,high,Other Authors,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,4,.,.,.
included_work[details],included_work,n,pass through/store vernacular -- no special processing,test/verification needed,field element,work_entry,included works,n,shared,"{0,1}",not indexed,x,x,x,This item includes,x,"Other identifying or descriptive details of included work, suitable for display but not indexed",x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,1,.,.,.
included_work[display],included_work,n,na - no vernacular expected,{na},field element,work_entry,included works,n,shared,"{0,1}",not indexed,x,x,x,x,x,Whether to display content of field; Boolean; defaults to true,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,1,.,.,.
included_work[isbn],included_work,n,na - no vernacular expected,{na},field element,work_entry,included works,n,shared,"{0,n}",ids;;;keyword,x,x,x,This item includes,"When element is present, prepend "". ISBN: "" in display",ISSN of included work,x,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,1,.,.,.
included_work[issn],included_work,n,na - no vernacular expected,{na},field element,work_entry,included works,n,shared,"{0,1}",ids;;;keyword,x,x,x,This item includes,"When element is present, prepend "". ISSN: "" in display",ISSN of included work,x,high,Linking_ISSN,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,5,.,.,.
included_work[label],included_work,n,pass through/store vernacular -- no special processing,test/verification needed,field element,work_entry,included works,n,shared,"{0,1}",not indexed,x,x,x,This item includes,x,Contextualizing label specific to the data in the field,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,5,.,.,.
included_work[lang],included_work,n,na - supports vernacular processing,{na},field element,work_entry,included works,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,Determine which language parser to apply to field data,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/vernacular_scripts.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,0,n,n,.
included_work[other_ids],included_work,n,na - no vernacular expected,{na},field element,work_entry,included works,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,"IDs of included works, other than ISBN or ISSN",x,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,1,.,.,.
included_work[title],included_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,included works,n,shared,{1},title;;;work;;;keyword,x,x,x,This item includes,Hyperlinks on different segments of the title portion conduct queries on work_citation index,"Title of included work, respecting nonfiling indicators",x,high,Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,7,.,.,.
included_work[title_nonfiling],included_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,included works,n,shared,"{0,1}",title;;;keyword,x,x,x,x,x,"Title of included work, ignoring nonfiling indicators",x,high,Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,2,.,.,.
included_work[title_variation],included_work,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,field element,work_entry,included works,n,shared,"{0,1}",title;;;keyword,x,x,x,This item includes,"In display, this value should have prefix: ""Some editions have title: ""","Variant form of title of the included work, if recorded in field. Would most often be the title proper (from title page) when uniform title was recorded in main title element of field.",x,high,Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,2,.,.,.
included_work[type],included_work,n,na - no vernacular expected,{na},field element,work_entry,included works,n,shared,{1},not indexed,x,x,x,x,x,Type of work_entry pattern,Used in post-Argot processing,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,0,6,.,.,.
institution,x,n,na - no vernacular expected,{na},simple field,.,meta,n,shared,"{1,4}",not indexed,x,? - hidden/backend-only facet,x,x,x,"Institution housing/maintaining (physical) or having access to (electronic, shared print) resource described by record",Use to determine what records show in an filtered-to-institution display,x,Institution,.,Set by MARC-to-Argot config/specs,needed,.,0,4,.,.,y
isbn,x,y,parent field -- see child elements,{na},parent field,.,ids,n,shared,"{0,n}",not indexed,y,x,x,Other details > (ids cluster) > ISBN: [number] [qualifying_info],x,"ISBN data for use in display, index, and syndetics_id",Search. Syndetics match point,.,Syndetics_ISBN,x,Alternate-length versions provided in processing,needed,.,0,0,.,.,.
isbn[number],isbn,n,na - no vernacular expected,{na},field element,.,ids,n,shared,{1},ids;;;keyword,x,x,.,.,x,ISBN field(s) to display,See discussion at https://trlnmain.atlassian.net/browse/TD-372,high,ISBN,x,x,needed,.,0,1,.,.,.
isbn[qualifying_info],isbn,n,pass through/store vernacular -- no special processing,test/verification needed,field element,.,ids,n,shared,"{0,1}",not indexed,x,x,.,.,x,"Brief description of part, format, version the ISBN refers to",.,x,na,x,x,needed,.,1,2,.,.,.
isbn_related,x,n,na - no vernacular expected,{na},simple field,default,ids,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,ISBNs of related works,Index only. Display is handled via other fields. This is a place to map ISBNs that come from fields not processed according to argot-marc pattern for related works,low,x,x,x,needed,.,0,1,.,.,.
issn,x,y,parent field -- see child elements,{na},parent field,.,ids,n,shared,"{0,n}",not indexed,y,x,x,Other details > (ids cluster) > [type]: [value],x,ISSN associated with resource described by record,.,x,ISSN;;;Linking_ISSN,x,x,needed,https://trlnmain.atlassian.net/browse/TD-134,0,0,.,.,.
issn[linking],issn,n,na - no vernacular expected,{na},field element,.,ids,n,shared,"{0,1}",ids;;;keyword,x,x,x,x,Will often be recorded in 7XX linking fields (treated as related) so we don't need to double-display this ISSN,ISSN that links together various media versions of a continuing resource.,x,med,Linking_ISSN,x,x,needed,https://trlnmain.atlassian.net/browse/TD-134,0,1,.,.,.
issn[primary],issn,n,na - no vernacular expected,{na},field element,.,ids,n,shared,"{0,1}",ids;;;keyword,x,x,x,Other details > (ids cluster) > ISSN:,x,Valid ISSN for the continuing resource (i.e. accurate AND applies to format version described by record),x,high,ISSN,x,x,needed,https://trlnmain.atlassian.net/browse/TD-134,0,1,.,.,.
issn_related,x,n,na - no vernacular expected,{na},simple field,default,ids,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,ISSNs of related works,Index only. Display is handled via other fields. This is a place to map ISSNs that come from fields not processed according to argot-marc pattern for related works,low,x,x,x,needed,.,0,1,.,.,.
items,x,y,parent field -- see child elements,{na},parent field,array of serialized JSON strings not flattened,item data,n,local,"{0,1}",not indexed,y,x,sometimes?,Where to find it,x,"Array of item elements, each representing an item record attached to the bib. Each item element is an an escaped JSON string",.,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,0,.,.,.
items[call_no],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,"{0,1}",call number,x,x,Item list> Call Number column,Item list> Call Number column,x,Full call number from item record (classification number + shelving cutter + shelf marks + volume/copy designators),Obtain resource; sort items in display into a logical order,.,Call Number,.,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,1,.,.,.
items[cn_scheme],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,"{0,1}",not indexed,x,x,x,x,x,"Scheme (LCC, DDC, NLM, SUDOC, etc) from which item_call_number was assigned",Support/control features behind the scenes -- gives info on further processing of this info into other fields,x,Class Schemes,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,0,.,.,.
items[copy_no],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,"{0,1}",not indexed,x,x,Item list> Call Number column,Item list> Call Number column,x,Copy number,Differentiate multiple copies of the same volume. Sort items?,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,1,.,.,.
items[due_date],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,"{0,1}",not indexed,x,x,Item list> Status column (if checked out),Item list> Status column (if checked out),x,Item due date,Can be shown as part of item status if item checked out,x,ItemDueDate,Only populated if item status = Checked out,Transform to standard date format,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,1,1,.,.,.
items[item_id],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,"{0,1}",not indexed,x,x,x,x,x,Unique identifier for an item record in host institution's ILS. Could be record number or barcode.,Of possible use for requesting or other features,x,Item ID,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,1,.,.,.
items[loc_b],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,{1},not indexed,x,x,Item list > (mapped to display value) > bold in highlighted row,Item list > (mapped to display value) > bold in highlighted row,x,Broad location: Library building/branch/larger location in which the shelving location is found,Inform user what library building or main section/area to go to in order to find the item,x,Libraries,x,ILS code. Do not translate to human-readable label in MARC-to-Argot,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,2,.,.,.
items[loc_n],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,{1},not indexed,x,x,Item list > (mapped to display value) > unhighlighted row,Item list > (mapped to display value) > unhighlighted row,x,"Narrow location: Area of library, shelving location code for item",Inform user what section/area of stacks to go to in order to find the item,x,Location_property,x,ILS code. Do not translate to human-readable label in MARC-to-Argot,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,2,.,.,.
items[notes],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,"{0,n}",not indexed,y,x,Item list > ?,Item list > ?,x,Public notes from the item record,Provide specific information at the copy or volume level. Assist in select and obtain user tasks,x,ItemNotes,x,An item may have more than one item note. They should be displayed in order.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,1,.,.,.
items[status],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,{1},not indexed,x,x,Item list > Status column,Item list > Status column,x,Status of individual item,"Shows user whether item is available, library use only, checked out (and when due), missing, etc. Feeds into bib availability value",x,Statuses,x,"Output human-readable status. Institution-specific status messages are output at item level. These will be mapped to a standardized, central set of broader ""status"" categories for use outside individual item display",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,3,.,.,.
items[type],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,"{0,1}",not indexed,x,x,x,x,x,Type/format for individual item,?,x,ItemTypes,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,4,.,.,.
items[vol],items,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,item data,n,local,"{0,1}",not indexed,x,x,Item list> Call Number column,Item list> Call Number column,x,Volume indicator/designator,Tell volumes of serials/sets/etc apart. Sort items? ,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,0,1,.,.,.
language,x,n,na - no vernacular expected,{na},simple field,.,.,n,shared,"{0,n}",facet:Language,y,Language,x,? > Language:,x,Language(s) of the content in the material(s) described by the record,"Limit/narrow results by language. Many resources are in more than one language. Users studying languages should be able to find materials that are in ""English and French"" ;;; Display language names in record",x,Language,x,"Map language codes to preferred language terms for display (if not storage/indexing) -- http://id.loc.gov/vocabulary/languages.html or http://www.loc.gov/standards/codelists/languages.xml ;;; Retain order because 008 language code is the ""main"" or first language in the item; in 041, codes are assigned in order of importance/amount of content",needed,.,0,2,.,.,.
