parent element,element,source schema,provisional?,institution,source data element,source data subelement,constraints,processing_type,processing instructions,notes,mapping_id,mapping issue ct,field issue ct,field defined?,done in mta?,tests done?,,,,,
genre_unc_mrc,genre_unc_mrc,MARC,n,UNC,695,a,LDR/06 = g AND $2 ^uncmrc AND $a value appears on MRC Filmfinder browse-by-genre list,subelement_to_value,x,x,genre_unc_mrcUNC695aLDR/06 = g AND $2 ^uncmrc AND $a value appears on MRC Filmfinder browse-by-genre list,0,0,n,.,.,,,,,
holdings,holdings[call_no],MARCish,n,UNC,999,hijkm,i1=9 AND i2=3 AND $0=#{holdings_record_id} AND $2='852',concat_subelements,x,x,holdings[call_no]UNC999hijkmi1=9 AND i2=3 AND $0=#{holdings_record_id} AND $2='852',0,0,n,y,y,,,,,
holdings,holdings[holdings_id],MARCish,n,UNC,999,a,(i1=9 AND i2=2) AND $c > 0,subelement_to_value,x,x,holdings[holdings_id]UNC999a(i1=9 AND i2=2) AND $c > 0,0,0,n,y,y,,,,,
holdings,holdings[loc_b],MARCish,n,UNC,999,b,i1=9 and i2=2,subelement_to_value,derived from  holdings_location_shelf -- See https://github.com/trln/data-documentation/blob/master/argot/questions_issues/location.md#one-idea-for-data-mappingtransformation,x,holdings[loc_b]UNC999bi1=9 and i2=2,0,0,n,y,y,,,,,
holdings,holdings[loc_n],MARCish,n,UNC,999,b,i1=9 and i2=2,subelement_to_value,See https://github.com/trln/data-documentation/blob/master/argot/questions_issues/location.md#one-idea-for-data-mappingtransformation,,holdings[loc_n]UNC999bi1=9 and i2=2,0,0,n,y,y,,,,,
holdings,holdings[notes],MARCish,n,UNC,999,lz,i1=9 AND i2=3 AND $0=#{holdings_record_id} AND $2='852',subelement_to_value,x,x,holdings[notes]UNC999lzi1=9 AND i2=3 AND $0=#{holdings_record_id} AND $2='852',0,0,n,y,y,,,,,
holdings,holdings[summary],MARCish,n,UNC,999,a,i1=9 AND i2=3 AND $0=#{holdings_record_id} AND $2='866',subelement_to_value,x,x,holdings[summary]UNC999ai1=9 AND i2=3 AND $0=#{holdings_record_id} AND $2='866',0,0,n,y,y,,,,,
id,id,MARCish,n,Duke,001,.,.,.,.,.,idDuke1..,0,0,n,,,,,,,
id,id,MARCish,n,NCCU,001,{na},none,subelement_to_value,first value only; prepend 'NCCU' to value,.,idNCCU1{na}none,0,0,n,,,,,,,
id,id,MARCish,n,NCSU,918,a,none,subelement_to_value,first value only; prepend 'NCSU' to value,.,idNCSU918anone,0,0,n,,,,,,,
id,id,MARCish,n,UNC,907,a,none,subelement_to_value,prepend 'UNC' to $a value,x,idUNC907anone,0,0,n,,,,,,,
imprint_main,imprint_main[label],MARC,n,GEN,260,3,"If >1 260/264, chosen from latest (i1 = 3) or last",subelement_to_value,strip colon or other non-enclosing punctuation from end of subfield.,x,"imprint_main[label]GEN2603If >1 260/264, chosen from latest (i1 = 3) or last",0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_main,imprint_main[label],MARC,n,GEN,264,3,"If >1 260/264, chosen from latest (i1 = 3) or last",subelement_to_value,strip colon or other non-enclosing punctuation from end of subfield.,x,"imprint_main[label]GEN2643If >1 260/264, chosen from latest (i1 = 3) or last",0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_main,imprint_main[type],MARC,n,GEN,260,{na},"If >1 260/264, chosen from latest (i1 = 3) or last",constant, = imprint,x,"imprint_main[type]GEN260{na}If >1 260/264, chosen from latest (i1 = 3) or last",0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_main,imprint_main[type],MARC,n,GEN,264,{na},i2=2,constant, = distribution,x,imprint_main[type]GEN264{na}i2=2,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_main,imprint_main[type],MARC,n,GEN,264,{na},i2=3,constant, = manufacture,x,imprint_main[type]GEN264{na}i2=3,0,0,n,?,n,,,,,
imprint_main,imprint_main[type],MARC,n,GEN,264,{na},i2=0,constant, = production,x,imprint_main[type]GEN264{na}i2=0,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_main,imprint_main[type],MARC,n,GEN,264,{na},i2=1,constant, = publication,x,imprint_main[type]GEN264{na}i2=1,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_main,imprint_main[value],MARC,n,GEN,260,abcefg,"If >1 260/264, chosen from latest (i1 = 3) or last",concat_subelements,See linked documentation for selecting which field to use if there are multiple 260/264 fields;;;Field should not end with a comma or semicolon.,x,"imprint_main[value]GEN260abcefgIf >1 260/264, chosen from latest (i1 = 3) or last",0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_main,imprint_main[value],MARC,n,GEN,264,abc,i2 =~/[0-3]/,concat_subelements,See linked documentation for selecting which field to use if there are multiple 260/264 fields;;;Field should not end with a comma or semicolon.,x,imprint_main[value]GEN264abci2 =~/[0-3]/,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_multiple,imprint_multiple[label],MARC,n,GEN,260,3,>1 260 or 264 fields present,subelement_to_value,strip colon or other non-enclosing punctuation from end of subfield.,x,imprint_multiple[label]GEN2603>1 260 or 264 fields present,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_multiple,imprint_multiple[label],MARC,n,GEN,264,3,>1 260 or 264 fields present,subelement_to_value,strip colon or other non-enclosing punctuation from end of subfield.,x,imprint_multiple[label]GEN2643>1 260 or 264 fields present,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_multiple,imprint_multiple[type],MARC,n,GEN,260,{na},>1 260 or 264 fields present,constant, = imprint,x,imprint_multiple[type]GEN260{na}>1 260 or 264 fields present,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_multiple,imprint_multiple[type],MARC,n,GEN,264,{na},i2=4,constant, = copyright,x,imprint_multiple[type]GEN264{na}i2=4,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_multiple,imprint_multiple[type],MARC,n,GEN,264,{na},i2=2,constant, = distribution,x,imprint_multiple[type]GEN264{na}i2=2,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_multiple,imprint_multiple[type],MARC,n,GEN,264,{na},i2=3,constant, = manufacture,x,imprint_multiple[type]GEN264{na}i2=3,0,0,n,?,n,,,,,
imprint_multiple,imprint_multiple[type],MARC,n,GEN,264,{na},i2=0,constant, = production,x,imprint_multiple[type]GEN264{na}i2=0,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_multiple,imprint_multiple[type],MARC,n,GEN,264,{na},i2=1,constant, = publication,x,imprint_multiple[type]GEN264{na}i2=1,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_multiple,imprint_multiple[value],MARC,n,GEN,260,abcefg,>1 260 or 264 fields present,concat_subelements,Field should not end with a comma or semicolon.,x,imprint_multiple[value]GEN260abcefg>1 260 or 264 fields present,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
imprint_multiple,imprint_multiple[value],MARC,n,GEN,264,abc,>1 260 or 264 fields present,concat_subelements,Field should not end with a comma or semicolon.,x,imprint_multiple[value]GEN264abc>1 260 or 264 fields present,0,0,n,?,https://github.com/trln/marc-to-argot/blob/TD-443-publication/spec/macros/shared/imprint_spec.rb,,,,,
included_work,included_work[author],MARC,n,GEN,700,abcd(g)jqu,i2=2 AND ($t OR $k),concat_subelements,$g included if it precedes $t and/or $k,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[author]GEN700abcd(g)jqui2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[author],MARC,n,GEN,710,abc(d)(g)(n)u,i2=2 AND ($t OR $k),concat_subelements,"$d, g, n included if it precedes $t and/or $k",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[author]GEN710abc(d)(g)(n)ui2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[author],MARC,n,GEN,711,ac(d)e(g)(n)u,i2=2 AND ($t OR $k),concat_subelements,"$d, g, n included if it precedes $t and/or $k",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[author]GEN711ac(d)e(g)(n)ui2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[author],MARC,n,GEN,774,a,$t OR $s,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[author]GEN774a$t OR $s,0,0,n,n,y,,,,,
included_work,included_work[details],MARC,n,GEN,774,bcdghkmno(r)(u)(y),($t OR $s) AND i1=0,concat_subelements,We don't need to derive/display a details value if we aren't displaying the field; See https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_linking_entry_fields_76X-78X.adoc for pattern of processing for this and other MARC fields in the 76X-78X range.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[details]GEN774bcdghkmno(r)(u)(y)($t OR $s) AND i1=0,0,0,n,n,y,,,,,
included_work,included_work[display],MARC,n,GEN,774,{na},($t OR $s) AND i1=1,constant, = false,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[display]GEN774{na}($t OR $s) AND i1=1,0,0,n,n,y,,,,,
included_work,included_work[isbn],MARC,n,GEN,774,z,$t OR $s,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[isbn]GEN774z$t OR $s,0,0,n,n,y,,,,,
included_work,included_work[issn],MARC,n,GEN,700,x,i2=2 AND ($t OR $k),concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[issn]GEN700xi2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[issn],MARC,n,GEN,710,x,i2=2 AND ($t OR $k),concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[issn]GEN710xi2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[issn],MARC,n,GEN,711,x,i2=2 AND ($t OR $k),concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[issn]GEN711xi2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[issn],MARC,n,GEN,730,x,i2=2,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[issn]GEN730xi2=2,0,0,n,n,y,,,,,
included_work,included_work[issn],MARC,n,GEN,774,x,$t OR $s,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[issn]GEN774x$t OR $s,0,0,n,n,y,,,,,
included_work,included_work[label],MARC,n,GEN,700,i3,i2=2 AND ($t OR $k),concat_subelements,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[label]GEN700i3i2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[label],MARC,n,GEN,710,i3,i2=2 AND ($t OR $k),concat_subelements,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[label]GEN710i3i2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[label],MARC,n,GEN,711,i3,i2=2 AND ($t OR $k),concat_subelements,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[label]GEN711i3i2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[label],MARC,n,GEN,730,i3,i2=2,concat_subelements,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[label]GEN730i3i2=2,0,0,n,n,y,,,,,
included_work,included_work[label],MARC,n,GEN,774,i,($t OR $s) AND i1=0,concat_subelements,We don't need a label value if we are not displaying.; If label is in $4 will need to translate to human readable label value (todo),https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[label]GEN774i($t OR $s) AND i1=0,0,0,n,n,y,,,,,
included_work,included_work[other_ids],MARC,n,GEN,774,oru(w)y,$t OR $s,subelement_to_value,remove parenthetical id type prefix and leading spaces if present in $w,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[other_ids]GEN774oru(w)y$t OR $s,0,0,n,n,y,,,,,
included_work,included_work[title],MARC,n,GEN,700,f(g)hklmnoprst,i2=2 AND ($t OR $k),array_from_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title]GEN700f(g)hklmnoprsti2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[title],MARC,n,GEN,710,(d)f(g)hklm(n)oprst,i2=2 AND ($t OR $k),array_from_subelements,"$d, $n, $g included in [title] if they follow $t or $k",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title]GEN710(d)f(g)hklm(n)oprsti2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[title],MARC,n,GEN,711,(d)f(g)hklm(n)pst,i2=2 AND ($t OR $k),array_from_subelements,"$d, $g, $n included if they follow $t or $k",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title]GEN711(d)f(g)hklm(n)psti2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[title],MARC,n,GEN,730,adfghklmnoprs,i2=2,array_from_subelements,Respect non-filing i1 value if not blank or 0,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title]GEN730adfghklmnoprsi2=2,0,0,n,n,y,,,,,
included_work,included_work[title],MARC,n,GEN,740,ahnp,i2=2,array_from_subelements,Respect non-filing i1 value if not blank or 0,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title]GEN740ahnpi2=2,0,0,n,n,y,,,,,
included_work,included_work[title],MARC,n,GEN,774,s,$t AND $s,subelement_to_value,Segment title as described at https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_linking_entry_fields_76X-78X.adoc,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title]GEN774s$t AND $s,0,0,n,n,y,,,,,
included_work,included_work[title],MARC,n,GEN,774,t,$t NOT $s,subelement_to_value,Segment title as described at https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_linking_entry_fields_76X-78X.adoc,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title]GEN774t$t NOT $s,0,0,n,n,y,,,,,
included_work,included_work[title_nonfiling],MARC,n,GEN,730,adfghklmnoprs,i2=2 AND i1=~/[1-9]/,concat_subelements,"Same as [title] value but WITHOUT the initial non-filing characters removed, and with spaces added for subfield delimiters instead of ""||""",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title_nonfiling]GEN730adfghklmnoprsi2=2 AND i1=~/[1-9]/,0,0,n,n,y,,,,,
included_work,included_work[title_nonfiling],MARC,n,GEN,740,ahnp,i2=2 AND i1=~/[1-9]/,concat_subelements,"Same as [title] value but WITHOUT the initial non-filing characters removed, and with spaces added for subfield delimiters instead of ""||""",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title_nonfiling]GEN740ahnpi2=2 AND i1=~/[1-9]/,0,0,n,n,y,,,,,
included_work,included_work[title_variation],MARC,n,GEN,730,t,i2=2 AND $a AND $t,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title_variation]GEN730ti2=2 AND $a AND $t,0,0,n,n,y,,,,,
included_work,included_work[title_variation],MARC,n,GEN,774,t,$t AND $s,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[title_variation]GEN774t$t AND $s,0,0,n,n,y,,,,,
included_work,included_work[type],MARC,n,GEN,700,{na},i2=2 AND ($t OR $k),constant, = included,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[type]GEN700{na}i2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[type],MARC,n,GEN,710,{na},i2=2 AND ($t OR $k),constant, = included,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[type]GEN710{na}i2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[type],MARC,n,GEN,711,{na},i2=2 AND ($t OR $k),constant, = included,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[type]GEN711{na}i2=2 AND ($t OR $k),0,0,n,n,y,,,,,
included_work,included_work[type],MARC,n,GEN,730,{na},i2=2,constant, = included,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[type]GEN730{na}i2=2,0,0,n,n,y,,,,,
included_work,included_work[type],MARC,n,GEN,740,{na},i2=2,constant, = included,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[type]GEN740{na}i2=2,0,0,n,n,y,,,,,
included_work,included_work[type],MARC,n,GEN,774,{na},$t OR $s,constant, = included,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,included_work[type]GEN774{na}$t OR $s,0,0,n,n,y,,,,,
institution,institution,MARC-to-Argot,n,UNC,919,{na},$a.value.lowercase == 'troup',constant," = [""unc"", ""duke"", ""nccu"", ""ncsu""]",x,institutionUNC919{na}$a.value.lowercase == 'troup',0,0,n,,,,,,,
institution,institution,MARC-to-Argot,n,UNC,919,{na},$a.value.lowercase == 'dwsgpo',constant," = [""unc"", ""duke"", ""nccu"", ""ncsu""]",x,institutionUNC919{na}$a.value.lowercase == 'dwsgpo',0,0,n,,,,,,,
institution,institution,MARC-to-Argot,n,UNC,919,{na},$a.value.lowercase == 'aspsvanth' OR 'aspsvflon',constant," = [""unc"", ""duke""]",x,institutionUNC919{na}$a.value.lowercase == 'aspsvanth' OR 'aspsvflon',0,0,n,,,,,,,
institution,institution,MARC-to-Argot,n,UNC,{na},{na},919 not present OR 919 does NOT contain values mapped to shared record sets,constant," = [""unc""]",x,institutionUNC{na}{na}919 not present OR 919 does NOT contain values mapped to shared record sets,0,0,n,,,,,,,
isbn,isbn[number],MARC,n,GEN,020,az,none,subelement_to_value,clean any qualifying info and punctuation from the end,,isbn[number]GEN20aznone,0,0,n,,,,,,,
isbn,isbn[qualifying_info],MARC,n,GEN,020,az,if there is data in parentheses,see notes,extract the data from inside the parentheses as the qualifying info,x,isbn[qualifying_info]GEN20azif there is data in parentheses,0,1,n,,,,,,,
isbn,isbn[qualifying_info],MARC,n,GEN,020,q,none,concat_subelements,remove parentheses from around data,x,isbn[qualifying_info]GEN20qnone,0,1,n,,,,,,,
isbn_related,isbn_related,MARC,n,GEN,534,z,none,subelement_to_value,x,x,isbn_relatedGEN534znone,0,0,n,,,,,,,
issn,issn[linking],MARC,n,GEN,022,l,none,subelement_to_value,"issn[type] = ""ISSN-L""",x,issn[linking]GEN22lnone,0,0,n,y,y,,,,,
issn,issn[primary],MARC,n,GEN,022,a,none,subelement_to_value,"issn[type] = ""ISSN""",x,issn[primary]GEN22anone,0,0,n,y,y,,,,,
issn_related,issn_related,MARC,n,GEN,534,x,none,subelement_to_value,x,x,issn_relatedGEN534xnone,0,0,n,,,,,,,
items,items[call_no],MARCish,n,UNC,999,q,i1=9 AND i2=1,concat_subelements,See https://github.com/trln/data-documentation/blob/master/argot/examples/items.md#item_call_number-unc,.,items[call_no]UNC999qi1=9 AND i2=1,0,0,n,y,y,,,,,
items,items[copy_no],MARCish,n,UNC,999,c,i1=9 AND i2=1 AND value != '1',subelement_to_value,.,.,items[copy_no]UNC999ci1=9 AND i2=1 AND value != '1',0,0,n,y,y,,,,,
items,items[due_date],MARCish,n,UNC,999,d,i1=9 AND i2=1,subelement_to_value,.,Will be blank if item is NOT checked out,items[due_date]UNC999di1=9 AND i2=1,0,1,n,y,y,,,,,
items,items[item_id],MARCish,n,UNC,999,i,i1=9 AND i2=1,subelement_to_value,.,.,items[item_id]UNC999ii1=9 AND i2=1,0,0,n,y,y,,,,,
items,items[loc_b],MARCish,n,UNC,999,f,i1=9 AND i2=4 AND NOT EXIST (tag=999 AND i1=9 and i2=1),subelement_to_value,See https://github.com/trln/data-documentation/blob/master/argot/questions_issues/location.md#one-idea-for-data-mappingtransformation,.,items[loc_b]UNC999fi1=9 AND i2=4 AND NOT EXIST (tag=999 AND i1=9 and i2=1),0,0,n,.,.,,,,,
items,items[loc_b],MARCish,n,UNC,999,l,i1=9 AND i2=1,subelement_to_value,See https://github.com/trln/data-documentation/blob/master/argot/questions_issues/location.md#one-idea-for-data-mappingtransformation,.,items[loc_b]UNC999li1=9 AND i2=1,0,0,n,y,y,,,,,
items,items[loc_n],MARCish,n,UNC,999,f,i1=9 AND i2=4 AND NOT EXIST (tag=999 AND i1=9 and i2=1),subelement_to_value,See https://github.com/trln/data-documentation/blob/master/argot/questions_issues/location.md#one-idea-for-data-mappingtransformation,.,items[loc_n]UNC999fi1=9 AND i2=4 AND NOT EXIST (tag=999 AND i1=9 and i2=1),0,0,n,.,.,,,,,
items,items[loc_n],MARCish,n,UNC,999,l,i1=9 AND i2=1,subelement_to_value,See https://github.com/trln/data-documentation/blob/master/argot/questions_issues/location.md#one-idea-for-data-mappingtransformation,.,items[loc_n]UNC999li1=9 AND i2=1,0,0,n,y,y,,,,,
items,items[notes],MARCish,n,UNC,999,n,i1=9 AND i2=1,subelement_to_value,.,.,items[notes]UNC999ni1=9 AND i2=1,0,0,n,y,y,,,,,
items,items[status],MARCish,n,UNC,999,{na},i1=9 AND i2=1 and $d IS NOT blank,constant, = Checked Out,.,items[status]UNC999{na}i1=9 AND i2=1 and $d IS NOT blank,0,0,n,y,y,,,,,
items,items[status],MARCish,n,UNC,999,{na},i1=9 AND i2=4 AND NOT EXIST (tag=999 AND i1=9 and i2=1),constant, = On Order,Order record data (999 94) should only be output if there is no item or holdings data output,items[status]UNC999{na}i1=9 AND i2=4 AND NOT EXIST (tag=999 AND i1=9 and i2=1),0,0,n,.,.,,,,,
