element,parent element,definition,rationale,category,provisional,responsibility,obligation,searchable in,retain order,facet,Brief display,Full display,note on display,relevance importance,endeca equivalent,notes,implementation details,documentation,JIRA issue,is parent?,vernacular treatment,vernacular status,element type,argot-ruby processor/pattern,abstract processing pattern,issue ct,mapping ct,done in mta?,tests?,in schema?,,,,,,,,
edition,x,Edition statement,Identify and select items,edition,n,shared,"{0,n}",not indexed,y,x,x,x,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-edition-code,https://trlnmain.atlassian.net/browse/TD-478,y,na - parent element -- see subelements,{na},parent element,indexed_value,labeled_indexed_value,0,0,n,y,y,,,,,,,,
edition[label],edition,Contextualizing label for data in the field,x,edition,n,shared,"{0,1}",not indexed,x,x,no label,Summary record > no label,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-edition-code,https://trlnmain.atlassian.net/browse/TD-478,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,indexed_value,labeled_indexed_value,0,2,n,y,y,,,,,,,,
edition[lang],edition,Script/language code for field,x,edition,n,shared,"{0,1}",not indexed,x,x,x,x,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-edition-code,https://trlnmain.atlassian.net/browse/TD-714,n,na - no vernacular expected,{na},subelement,indexed_value,labeled_indexed_value,0,0,.,.,y,,,,,,,,
edition[value],edition,Value of edition statement,x,edition,n,shared,{1},keyword,x,x,no label,Summary record > no label,x,?,Edition;;;Edition Vernacular;;;Edition Vernacular Segmented ,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/other_argot_fields.adoc#code-edition-code,https://trlnmain.atlassian.net/browse/TD-478,n,vernacular processing needed,define new subelement - map/doc needed,subelement,indexed_value,labeled_indexed_value,0,3,n,y,y,,,,,,,,
frequency,x,Current frequency of continuing resource,.,serials details,n,shared,"{0,1}",not indexed,x,x,x,Other details > (serials cluster) > Current frequency:,x,x,Current Frequency,x,.,needed,.,y,na - parent element -- see subelements,{na},parent element,default,hash of fields,0,0,y,y,y,,,,,,,,
frequency[current],frequency,Current frequency of continuing resource,.,serials details,n,shared,"{0,1}",not indexed,x,x,x,Other details > (serials cluster) > Current frequency:,x,x,Current Frequency,x,.,needed,.,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,default,array of one string element,0,1,y,y,y,,,,,,,,
frequency[former],frequency,Former frequency (or frequencies) of continuing resource,.,serials details,n,shared,"{0,n}",not indexed,x,x,x,Other details > (serials cluster) > Current frequency:,x,x,Former Frequency,x,.,needed,.,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,default,array of one or more string elements,0,1,y,y,y,,,,,,,,
genre_headings,x,Pre-coordinate genre/form headings,"Display in record (in order); adaptive hyperlinking for browsing/exploring; feed into autosuggest and/or ""related titles"" features?",subject,n,shared,"{0,n}",not indexed,y,x,x,x,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,https://trlnmain.atlassian.net/browse/TD-469,y,na - parent element -- see subelements,{na},parent element,default,headings,0,0,.,.,y,,,,,,,,
genre_headings[lang],genre_headings,Script/language code for field,x,subject,n,shared,"{0,1}",not indexed,x,x,x,x,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,https://trlnmain.atlassian.net/browse/TD-738,n,na - no vernacular expected,{na},subelement,default,headings,0,0,.,.,y,,,,,,,,
genre_headings[value],genre_headings,Value of the heading,x,subject,n,shared,{1},subject;;;keyword,x,x,x,?,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/subject_and_genre.adoc,https://trlnmain.atlassian.net/browse/TD-469,n,vernacular processing needed,partially mapped/doced,subelement,default,headings,0,8,.,.,y,,,,,,,,
genre_unc_mrc,x,Local genre vocabulary terms established and used by UNC Media Resources Center (MRC),Populates Genre search filter on scoped film search developed for MRC,subject,n,local,"{0,n}",facet:genre_unc_mrc,x,x,x,x,Will only be used to populate MRC scoped search Genre filter with their local genre terms. Will not actually generate a facet in the UI. The fields these terms are taken from get displayed as subjects/genres in the record display and existing facets.,x,x,"In Endeca, we *HARD CODED all dimension id values assigned to MRC genre terms in the XML configs that controlled advanced search features BY HAND*! I do NOT want to do anything like that ever again, hence a special field.",x,needed,.,n,pass through/store vernacular -- no special processing,{na},simple element,default,array of one or more string elements,0,2,.,.,y,,,,,,,,
holdings,x,"Array of holdings elements, each representing a holdings record attached to the bib. Each holdings element is an an escaped JSON string",.,holdings data,n,local,"{0,1}",not indexed,y,x,no label,Where to find it,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,y,na - parent element -- see subelements,{na},parent element,default,array of serialized JSON strings not flattened,0,0,.,.,y,,,,,,,,
holdings[call_no],holdings,Full call number from holdings record (classification number + shelving cutter + shelf marks + volume/copy designators),Obtain resource,holdings data,n,local,"{0,1}",not indexed,x,x,no label -- translated into display value --  in Call Number column in bolded (but not highlighted) narrower location row,no label -- translated into display value --  in Call Number column in bolded (but not highlighted) narrower location row,x,x,SerialHoldingsSummary > Call #,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,y,,,,,,,,
holdings[holdings_id],holdings,Unique identifier for source data holdings record in host institution's ILS. ,"Of possible use for requesting or other features;;;UNC uses this to link to ""Latest Received"" display from our Sierra OPAC",holdings data,n,local,"{0,1}",not indexed,x,x,x,"(UNC serials: used to generate ""Latest Received"" link in holdings record display)",x,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,y,,,,,,,,
holdings[latest_received_text],holdings,"For serials: indicates text of link for latest_received_href if that is present; if only this property is present, displayed as plain text with label “Latest Received” ",NCSU merges in textual statements about latest received issues,holdings data,n,local,"[0,1]",not indexed,x,x,x,Latest Received,Displayed in serials records only,x,Most Recently Received (*),x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,https://trlnmain.atlassian.net/browse/TD-489,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,0,.,.,y,,,,,,,,
holdings[loc_b],holdings,Broad location: Library building/branch/larger location in which the shelving location is found,Inform user what library building or main section/area to go to in order to find the items covered by holdings statement,holdings data,n,local,{1},not indexed,x,x,no label -- translated into display value -- highlighted broader location row,no label -- translated into display value -- highlighted broader location row,x,x,SerialHoldingsSummary > Library,x,ILS code. Do not translate to human-readable label in MARC-to-Argot,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,y,,,,,,,,
holdings[loc_n],holdings,"Narrow location: Area of library, shelving location, etc. code for items covered by the holdings statement",Inform user what section/area of stacks to go to in order to find the items covered by holdings statement,holdings data,n,local,{1},not indexed,x,x,no label -- translated into display value --  in Location column in bolded (but not highlighted) narrower location row,no label -- translated into display value --  in Location column in bolded (but not highlighted) narrower location row,x,x,SerialHoldingsSummary > Location,x,ILS code. Do not translate to human-readable label in MARC-to-Argot,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,y,,,,,,,,
holdings[notes],holdings,Public notes from the holdings record,Provide information on the run/span of items described that cannot be recorded elsewhere in holdings record. ,holdings data,n,local,"{0,n}",not indexed,y,x,?,?,x,x,SerialHoldingsSummary > Item Note,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,y,,,,,,,,
holdings[summary],holdings,"For serials (and for some institutions, monographic series or sets), statement indicating what the library/location has for the title (volumes/years held, gaps, etc) ",See what the library/location has without having to look through all the individual items/volumes,holdings data,n,local,"{0,1}",not indexed,y,x,no label -- translated into display value --  in Status column in bolded (but not highlighted) narrower location row,no label -- translated into display value --  in Status column in bolded (but not highlighted) narrower location row,x,x,SerialHoldingsSummary > Serial Summary,x,"While there will be only 1 'summary' element per 'holding' hash within the 'holdings' array, multiple summary statements may be concatenated into that 'summary' element. In this case, keep the concatenated values in original record order.",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/holdings.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,y,,,,,,,,
id,x,"Local ID with institution or other code prepended, creating unique value in TRLN Discovery system","Used in full record URL, is Solr document id, etc.",ids,n,local,{1},ids;;;keyword,x,x,x,Other details > (ids cluster) > TRLN Discovery Record ID:,x,x,UniqueId,x,.,needed,.,n,na - no vernacular expected,{na},simple element,default,.,0,4,.,.,y,,,,,,,,
imprint_main,x,"Main publication statement, or the closest we can get to that. Where there's a single 260/264, we use that. Where there are multiple, we try to find the best one. Refer to documentation linked from here for details on that.","In search results/brief record, we want to show succinct publication info, ideally that which should be used when citing the item.","publication, etc",n,shared,"{0,2}",not indexed,x,x,no label,Other details > (publication cluster) > Published: ,Is not displayed in full record if there is an imprint_multiple field,x,Imprint,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,y,na - parent element -- see subelements,{na},parent element,default,array of serialized JSON strings not flattened,0,0,.,.,y,,,,,,,,
imprint_main[label],imprint_main,Label qualifying the value of field (i.e. part of resource or time span in resource's history to which the information applies),Displayed to contextualize the rest of the data in the field,"publication, etc",n,shared,"{0,1}",not indexed,x,x,no label,Other details > (publication cluster) > Published: ,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,default,array of serialized JSON strings not flattened,0,2,.,.,y,,,,,,,,
imprint_main[type],imprint_main,"The type of data recorded in the field (publication, distribution, production, manufacture)","When value is NOT 'publication,' may be used to generate display label","publication, etc",n,shared,{1},not indexed,x,x,x,x,"Is not displayed if value is ""Imprint"",  ""Publication"", or ""Copyright"". Otherwise displays at beginnning of field data: ""Distributed:"", ""Produced:"", ""Manufactured:""",x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,5,.,.,y,,,,,,,,
imprint_main[value],imprint_main,"The text of the publication, etc statement",Displayed,"publication, etc",n,shared,{1},not indexed,x,x,no label,Other details > (publication cluster) > Published: ,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,default,array of serialized JSON strings not flattened,0,2,.,.,y,,,,,,,,
imprint_multiple,x,"When there is more than one 260/264, records the data from all of them, retaining MARC record order. Includes the value extracted for use in imprint_main.","Show full publication, etc info in details section. This can be helpful in verifying the desired item has been found. It's impossible to 100% know we've chosen the imprint_main value accurately, and all the data recorded in the bib record appears on the resource (or did at some point in time, so may be considered important for description/identification of resource","publication, etc",n,shared,"{2,n}",not indexed,y,x,x,Other details > (publication cluster) > Published: ,"If this field exists, it is displayed in full record instead of imprint_main",x,Imprint;;;Production Statement;;;Distribution Statement;;;Manufacturer Statement;;;Copyright Statement,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,y,na - parent element -- see subelements,{na},parent element,default,array of serialized JSON strings not flattened,0,0,.,.,y,,,,,,,,
imprint_multiple[label],imprint_multiple,Label qualifying the value of field (i.e. part of resource or time span in resource's history to which the information applies),Displayed to contextualize the rest of the data in the field,"publication, etc",n,shared,"{0,1}",not indexed,x,x,x,Other details > (publication cluster) > Published: ,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,default,array of serialized JSON strings not flattened,0,2,.,.,y,,,,,,,,
imprint_multiple[type],imprint_multiple,"The type of data recorded in the field (publication, distribution, production, manufacture)","When value is NOT 'publication,' may be used to generate display label","publication, etc",n,shared,{1},not indexed,x,x,x,x,"Is not displayed if value is ""Imprint"",  ""Publication"", or ""Copyright"". Otherwise displays at beginnning of field data: ""Distributed:"", ""Produced:"", ""Manufactured:""",x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,6,.,.,y,,,,,,,,
imprint_multiple[value],imprint_multiple,"The text of the publication, etc statement",Displayed,"publication, etc",n,shared,{1},not indexed,x,x,x,Other details > (publication cluster) > Published: ,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/publication_and_related_fields.adoc,.,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,default,array of serialized JSON strings not flattened,0,2,.,.,y,,,,,,,,
included_work,x,Included works not handled in a field such as Table of Contents,Navigation/exploration of catalog,included works,n,shared,"{0,n}",not indexed,y,x,x,x,x,high,Constituent Unit Linking;;;Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,y,na - parent element -- see subelements,{na},parent element,work_entry,work_entry,0,0,n,n,.,,,,,,,,
included_work[author],included_work,Author of the included work,x,included works,n,shared,"{0,1}",author;;;work;;;keyword,x,x,x,This item includes,Hyperlinked. Clicking this segment does an author search,high,Other Authors,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,subelement,work_entry,work_entry,0,4,.,.,.,,,,,,,,
included_work[details],included_work,"Other identifying or descriptive details of included work, suitable for display but not indexed",x,included works,n,shared,"{0,1}",not indexed,x,x,x,This item includes,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,work_entry,work_entry,0,1,.,.,.,,,,,,,,
included_work[display],included_work,Whether to display content of field; Boolean; defaults to true,x,included works,n,shared,"{0,1}",not indexed,x,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,na - no vernacular expected,{na},subelement,work_entry,work_entry,0,1,.,.,.,,,,,,,,
included_work[isbn],included_work,ISSN of included work,x,included works,n,shared,"{0,n}",ids;;;keyword,x,x,x,This item includes,"When element is present, prepend "". ISBN: "" in display",high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,na - no vernacular expected,{na},subelement,work_entry,work_entry,0,1,.,.,.,,,,,,,,
included_work[issn],included_work,ISSN of included work,x,included works,n,shared,"{0,1}",ids;;;keyword,x,x,x,This item includes,"When element is present, prepend "". ISSN: "" in display",high,Linking_ISSN,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,na - no vernacular expected,{na},subelement,work_entry,work_entry,0,5,.,.,.,,,,,,,,
included_work[label],included_work,Contextualizing label specific to the data in the field,x,included works,n,shared,"{0,1}",not indexed,x,x,x,This item includes,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,work_entry,work_entry,0,5,.,.,.,,,,,,,,
included_work[lang],included_work,Script/language code for field,Determine which language parser to apply to field data,included works,n,shared,"{0,1}",not indexed,x,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/vernacular_scripts.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,na - no vernacular expected,{na},subelement,work_entry,work_entry,0,0,n,n,.,,,,,,,,
included_work[other_ids],included_work,"IDs of included works, other than ISBN or ISSN",x,included works,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,na - no vernacular expected,{na},subelement,work_entry,work_entry,0,1,.,.,.,,,,,,,,
included_work[title],included_work,"Title of included work, respecting nonfiling indicators",x,included works,n,shared,{1},title;;;work;;;keyword,x,x,x,This item includes,Hyperlinks on different segments of the title portion conduct queries on work_citation index,high,Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,subelement,work_entry,work_entry,0,7,.,.,.,,,,,,,,
included_work[title_nonfiling],included_work,"Title of included work, ignoring nonfiling indicators",x,included works,n,shared,"{0,1}",title;;;keyword,x,x,x,x,x,high,Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,subelement,work_entry,work_entry,0,2,.,.,.,,,,,,,,
included_work[title_variation],included_work,"Variant form of title of the included work, if recorded in field. Would most often be the title proper (from title page) when uniform title was recorded in main title element of field.",x,included works,n,shared,"{0,1}",title;;;keyword,x,x,x,This item includes,"In display, this value should have prefix: ""Some editions have title: """,high,Other Titles,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,vernacular processing needed,spec-ed in work_entry pattern -- implementation needed,subelement,work_entry,work_entry,0,2,.,.,.,,,,,,,,
included_work[type],included_work,Type of work_entry pattern,Used in post-Argot processing,included works,n,shared,{1},not indexed,x,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/included_work.adoc,https://trlnmain.atlassian.net/browse/TD-535,n,na - no vernacular expected,{na},subelement,work_entry,work_entry,0,6,.,.,.,,,,,,,,
institution,x,"Institution housing/maintaining (physical) or having access to (electronic, shared print) resource described by record",Use to determine what records show in an filtered-to-institution display,meta,n,shared,"{1,4}",not indexed,x,? - hidden/backend-only facet,x,x,x,x,Institution,x,Set by MARC-to-Argot config/specs,needed,.,n,na - no vernacular expected,{na},simple element,default,.,0,4,.,.,y,,,,,,,,
isbn,x,"ISBN data for use in display, index, and syndetics_id",Search. Syndetics match point,ids,n,shared,"{0,n}",not indexed,y,x,x,Other details > (ids cluster) > ISBN: [number] [qualifying_info],x,.,Syndetics_ISBN,x,Alternate-length versions provided in processing,needed,.,y,na - parent element -- see subelements,{na},parent element,default,.,0,0,.,.,.,,,,,,,,
isbn[number],isbn,ISBN field(s) to display,See discussion at https://trlnmain.atlassian.net/browse/TD-372,ids,n,shared,{1},ids;;;keyword,x,x,.,.,x,high,ISBN,x,x,needed,.,n,na - no vernacular expected,{na},subelement,default,.,0,1,.,.,.,,,,,,,,
isbn[qualifying_info],isbn,"Brief description of part, format, version the ISBN refers to",.,ids,n,shared,"{0,1}",not indexed,x,x,.,.,x,x,na,x,x,needed,.,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,default,.,1,2,.,.,.,,,,,,,,
isbn_related,x,ISBNs of related works,Index only. Display is handled via other fields. This is a place to map ISBNs that come from fields not processed according to argot-marc pattern for related works,ids,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,low,x,x,x,needed,.,n,na - no vernacular expected,{na},simple element,default,.,0,1,.,.,.,,,,,,,,
issn,x,ISSN associated with resource described by record,.,ids,n,shared,"{0,n}",not indexed,y,x,x,Other details > (ids cluster) > [type]: [value],x,x,ISSN;;;Linking_ISSN,x,x,needed,https://trlnmain.atlassian.net/browse/TD-134,y,na - parent element -- see subelements,{na},parent element,default,.,0,0,.,.,.,,,,,,,,
issn[linking],issn,ISSN that links together various media versions of a continuing resource.,x,ids,n,shared,"{0,1}",ids;;;keyword,x,x,x,x,Will often be recorded in 7XX linking fields (treated as related) so we don't need to double-display this ISSN,med,Linking_ISSN,x,x,needed,https://trlnmain.atlassian.net/browse/TD-134,n,na - no vernacular expected,{na},subelement,default,.,0,1,.,.,.,,,,,,,,
issn[primary],issn,Valid ISSN for the continuing resource (i.e. accurate AND applies to format version described by record),x,ids,n,shared,"{0,1}",ids;;;keyword,x,x,x,Other details > (ids cluster) > ISSN:,x,high,ISSN,x,x,needed,https://trlnmain.atlassian.net/browse/TD-134,n,na - no vernacular expected,{na},subelement,default,.,0,1,.,.,.,,,,,,,,
issn_related,x,ISSNs of related works,Index only. Display is handled via other fields. This is a place to map ISSNs that come from fields not processed according to argot-marc pattern for related works,ids,n,shared,"{0,n}",ids;;;keyword,x,x,x,x,x,low,x,x,x,needed,.,n,na - no vernacular expected,{na},simple element,default,.,0,1,.,.,.,,,,,,,,
items,x,"Array of item elements, each representing an item record attached to the bib. Each item element is an an escaped JSON string",.,item data,n,local,"{0,1}",not indexed,y,x,sometimes?,Where to find it,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,y,na - parent element -- see subelements,{na},parent element,default,array of serialized JSON strings not flattened,0,0,.,.,.,,,,,,,,
items[barcode],items,Barcode of item,"Should be unique identifier, at least at a given institution",item data,n,local,"{0,1}",ids;;;keyword,x,x,x,x,x,.,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,.,,,,,,,,
items[call_no],items,Full call number from item record (classification number + shelving cutter + shelf marks + volume/copy designators),Obtain resource; sort items in display into a logical order,item data,n,local,"{0,1}",call number,x,x,Item list> Call Number column,Item list> Call Number column,x,.,Call Number,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,.,,,,,,,,
items[cn_scheme],items,"Scheme (LCC, DDC, NLM, SUDOC, etc) from which item_call_number was assigned",Support/control features behind the scenes -- gives info on further processing of this info into other fields,item data,n,local,"{0,1}",not indexed,x,x,x,x,x,x,Class Schemes,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,.,,,,,,,,
items[copy_no],items,Copy number,Differentiate multiple copies of the same volume. Sort items?,item data,n,local,"{0,1}",not indexed,x,x,Item list> Call Number column,Item list> Call Number column,x,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,.,,,,,,,,
items[due_date],items,Item due date,Can be shown as part of item status if item checked out,item data,n,local,"{0,1}",not indexed,x,x,Item list> Status column (if checked out),Item list> Status column (if checked out),x,x,ItemDueDate,Only populated if item status = Checked out,Transform to standard date format,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,1,1,.,.,.,,,,,,,,
